region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h6577,0.5279319298306815,scr2002,dem,electricity
AL,h6578,0.4783867203857938,scr2002,dem,electricity
AL,h6579,0.446664802733332,scr2002,dem,electricity
AL,h6580,0.43360577667404165,scr2002,dem,electricity
AL,h6581,0.4302200582804828,scr2002,dem,electricity
AL,h6582,0.44005324296677023,scr2002,dem,electricity
AL,h6583,0.4790322315886084,scr2002,dem,electricity
AL,h6584,0.5338084919814818,scr2002,dem,electricity
AL,h6585,0.5873731409609979,scr2002,dem,electricity
AL,h6586,0.614547208961282,scr2002,dem,electricity
AL,h6587,0.6212680110188664,scr2002,dem,electricity
AL,h6588,0.6235102264048953,scr2002,dem,electricity
AL,h6589,0.6227293311512951,scr2002,dem,electricity
AL,h6590,0.6189119723032357,scr2002,dem,electricity
AL,h6591,0.605864081693898,scr2002,dem,electricity
AL,h6592,0.5899800659291208,scr2002,dem,electricity
AL,h6593,0.5802419211250165,scr2002,dem,electricity
AL,h6594,0.5789312545672674,scr2002,dem,electricity
AL,h6595,0.5954292776786143,scr2002,dem,electricity
AL,h6596,0.6368737440712653,scr2002,dem,electricity
AL,h6597,0.6676615790033036,scr2002,dem,electricity
AL,h6598,0.6684423814309743,scr2002,dem,electricity
AL,h6599,0.6323213811463284,scr2002,dem,electricity
AL,h6600,0.582133922507571,scr2002,dem,electricity
AL,h6601,0.5278268309825913,scr2002,dem,electricity
AL,h6602,0.476326668710695,scr2002,dem,electricity
AL,h6603,0.4428827810050433,scr2002,dem,electricity
AL,h6604,0.4287271366260578,scr2002,dem,electricity
AL,h6605,0.4251961014054964,scr2002,dem,electricity
AL,h6606,0.43499528491634293,scr2002,dem,electricity
AL,h6607,0.4747790477559075,scr2002,dem,electricity
AL,h6608,0.5303007418473444,scr2002,dem,electricity
AL,h6609,0.5844812207606236,scr2002,dem,electricity
AL,h6610,0.6115697767775055,scr2002,dem,electricity
AL,h6611,0.6186024842103262,scr2002,dem,electricity
AL,h6612,0.621429045602502,scr2002,dem,electricity
AL,h6613,0.6216684475836181,scr2002,dem,electricity
AL,h6614,0.618867332664985,scr2002,dem,electricity
AL,h6615,0.6068237483005925,scr2002,dem,electricity
AL,h6616,0.5915825066029496,scr2002,dem,electricity
AL,h6617,0.5829880968749521,scr2002,dem,electricity
AL,h6618,0.5829172686015962,scr2002,dem,electricity
AL,h6619,0.6019358508825106,scr2002,dem,electricity
AL,h6620,0.6445892808562161,scr2002,dem,electricity
AL,h6621,0.6766835185313111,scr2002,dem,electricity
AL,h6622,0.6783568397765398,scr2002,dem,electricity
AL,h6623,0.6445502042970621,scr2002,dem,electricity
AL,h6624,0.5972030263920338,scr2002,dem,electricity
AL,h6625,0.5479216386686017,scr2002,dem,electricity
AL,h6626,0.503063362972515,scr2002,dem,electricity
AL,h6627,0.47419996968029116,scr2002,dem,electricity
AL,h6628,0.46252955125162437,scr2002,dem,electricity
