region_2,timestep_6,value,scenario_1,parameter,technology_3
AL,h0049,0.9318057778587561,scr1989,stInflow,reservoir
AL,h0050,0.8998931937648319,scr1989,stInflow,reservoir
AL,h0051,0.7720909130494525,scr1989,stInflow,reservoir
AL,h0052,0.6772867295934774,scr1989,stInflow,reservoir
AL,h0053,0.5838067623533564,scr1989,stInflow,reservoir
AL,h0054,0.564156789666873,scr1989,stInflow,reservoir
AL,h0055,0.5445748867181294,scr1989,stInflow,reservoir
AL,h0056,0.5898805043523864,scr1989,stInflow,reservoir
AL,h0057,0.655420070658899,scr1989,stInflow,reservoir
AL,h0058,0.7363572283346186,scr1989,stInflow,reservoir
AL,h0059,0.7511168475506429,scr1989,stInflow,reservoir
AL,h0060,0.7659059765868488,scr1989,stInflow,reservoir
AL,h0061,0.7881763091774312,scr1989,stInflow,reservoir
AL,h0062,0.8105108874565874,scr1989,stInflow,reservoir
AL,h0063,0.8873783592110494,scr1989,stInflow,reservoir
AL,h0064,0.942192952987595,scr1989,stInflow,reservoir
AL,h0065,0.9296572543720506,scr1989,stInflow,reservoir
AL,h0066,0.8624795586952629,scr1989,stInflow,reservoir
AL,h0067,0.800290846923712,scr1989,stInflow,reservoir
AL,h0068,0.8047512247839672,scr1989,stInflow,reservoir
AL,h0069,0.8092141232251349,scr1989,stInflow,reservoir
AL,h0070,0.7874216726766872,scr1989,stInflow,reservoir
AL,h0071,0.7656904462739827,scr1989,stInflow,reservoir
AL,h0072,0.7418579761640981,scr1989,stInflow,reservoir
AT,h0049,0.3932548963502469,scr1989,stInflow,reservoir
AT,h0050,0.41136464510749055,scr1989,stInflow,reservoir
AT,h0051,0.44842971888154204,scr1989,stInflow,reservoir
AT,h0052,0.46737056178909103,scr1989,stInflow,reservoir
AT,h0053,0.48662989275485724,scr1989,stInflow,reservoir
AT,h0054,0.49972361070535803,scr1989,stInflow,reservoir
AT,h0055,0.5129576850782257,scr1989,stInflow,reservoir
AT,h0056,0.525409161532222,scr1989,stInflow,reservoir
AT,h0057,0.5244879713771654,scr1989,stInflow,reservoir
AT,h0058,0.5115544334796954,scr1989,stInflow,reservoir
AT,h0059,0.49965424850219275,scr1989,stInflow,reservoir
AT,h0060,0.487867689465268,scr1989,stInflow,reservoir
AT,h0061,0.4747466178652753,scr1989,stInflow,reservoir
AT,h0062,0.46177157998956114,scr1989,stInflow,reservoir
AT,h0063,0.43759787476285894,scr1989,stInflow,reservoir
AT,h0064,0.4263716891594722,scr1989,stInflow,reservoir
AT,h0065,0.40902798942435187,scr1989,stInflow,reservoir
AT,h0066,0.4028290029085027,scr1989,stInflow,reservoir
AT,h0067,0.395227426120102,scr1989,stInflow,reservoir
AT,h0068,0.3937875755846889,scr1989,stInflow,reservoir
AT,h0069,0.3923499203452279,scr1989,stInflow,reservoir
AT,h0070,0.3921884275219938,scr1989,stInflow,reservoir
AT,h0071,0.3920269624821483,scr1989,stInflow,reservoir
AT,h0072,0.39146389122160485,scr1989,stInflow,reservoir
BA,h0049,0.35134589320560616,scr1989,stInflow,reservoir
BA,h0050,0.3069819150049782,scr1989,stInflow,reservoir
BA,h0051,0.27692399444730287,scr1989,stInflow,reservoir
BA,h0052,0.2913917307775573,scr1989,stInflow,reservoir
BA,h0053,0.30583922610391495,scr1989,stInflow,reservoir
BA,h0054,0.3144834220658319,scr1989,stInflow,reservoir
BA,h0055,0.3231208784230422,scr1989,stInflow,reservoir
BA,h0056,0.34577261489943567,scr1989,stInflow,reservoir
BA,h0057,0.3597772194077552,scr1989,stInflow,reservoir
BA,h0058,0.3961523979035629,scr1989,stInflow,reservoir
BA,h0059,0.41850212707020956,scr1989,stInflow,reservoir
BA,h0060,0.44081733699056797,scr1989,stInflow,reservoir
BA,h0061,0.4389354471280117,scr1989,stInflow,reservoir
BA,h0062,0.4370533229690699,scr1989,stInflow,reservoir
BA,h0063,0.42413084399020307,scr1989,stInflow,reservoir
BA,h0064,0.4130823902438971,scr1989,stInflow,reservoir
BA,h0065,0.39988437289853734,scr1989,stInflow,reservoir
BA,h0066,0.3977430348693636,scr1989,stInflow,reservoir
BA,h0067,0.3690981365183052,scr1989,stInflow,reservoir
BA,h0068,0.3425400965859391,scr1989,stInflow,reservoir
BA,h0069,0.3159230456471735,scr1989,stInflow,reservoir
BA,h0070,0.3073708549700259,scr1989,stInflow,reservoir
BA,h0071,0.2988119164753038,scr1989,stInflow,reservoir
BA,h0072,0.28073977986943294,scr1989,stInflow,reservoir
BG,h0049,0.3090384445379006,scr1989,stInflow,reservoir
BG,h0050,0.2939560281331376,scr1989,stInflow,reservoir
BG,h0051,0.28014474600483485,scr1989,stInflow,reservoir
BG,h0052,0.2814506107143517,scr1989,stInflow,reservoir
BG,h0053,0.28275620385462646,scr1989,stInflow,reservoir
BG,h0054,0.28173591200166526,scr1989,stInflow,reservoir
BG,h0055,0.2807154544504989,scr1989,stInflow,reservoir
BG,h0056,0.2821907387766674,scr1989,stInflow,reservoir
BG,h0057,0.2846856572534982,scr1989,stInflow,reservoir
BG,h0058,0.25052920277725066,scr1989,stInflow,reservoir
BG,h0059,0.2136405242250577,scr1989,stInflow,reservoir
BG,h0060,0.1764759410737567,scr1989,stInflow,reservoir
