technology_1,technology_2,technology_3,mode,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,technology_decomm,region_expansion,technology_convBalance,technology_stBalance,region_disaggregate
battery,,lithiumBattery,,,,electricity,electricity,emerging,none,,,,
battery,,redoxBattery,,,,electricity,electricity,emerging,none,,,,
bioConversion,,biogasPlant,,nonSolidBiomass,rawBiogas,,,mature,none,,,,
bioConversion,,biogasUpgrading,,rawBiogas,synthGas,,,mature,none,,,,
bioConversion,,gasification,,solidBiomass,synthGas; districtHeat,,,mature,none,,,,
bioConversion,,hydropyrolysis,,solidBiomass,refinedOil,,,mature,none,,,,
bioConversion,,liquifaction,,otherBiomass; electricity,crudeOil,,,mature,none,,,,
bioConversion,,nonSolidBioPlantDh,onlyElec; onlyHeat,nonSolidBiomass,electricity; districtHeat,,,mature,none,,,,
bioConversion,,nonSolidBioPlantProLow,onlyElec; onlyHeat,nonSolidBiomass,electricity; processHeat_low,,,mature,none,,,,
bioConversion,,solidBioPlantDh,onlyElec; onlyHeat,solidBiomass,electricity; districtHeat,,,mature,none,,,,
bioConversion,,solidBioPlantProLow,onlyElec; onlyHeat,solidBiomass,electricity; processHeat_low,,,mature,none,,,,
ccgt,ccgtGas,ccgtGasBackDh,,gasFuel,electricity; districtHeat,,,mature,none,,,,
ccgt,ccgtGas,ccgtGasBackDhH2Rdy,,gasFuel,electricity; districtHeat,,,mature,none,,,,
ccgt,ccgtGas,ccgtGasBackProLow,,gasFuel,electricity; processHeat_low,,,mature,none,,,,
ccgt,ccgtGas,ccgtGasExtract,onlyElec; elecAndHeat ,gasFuel,electricity; districtHeat,,,mature,none,,,,
ccgt,ccgtGas,ccgtGasExtractH2Rdy,onlyElec; elecAndHeat ,gasFuel,electricity; districtHeat,,,mature,none,,,,
ccgt,ccgtH2,ccgtH2BackDh,,h2,electricity; districtHeat,,,mature,none,,,,
ccgt,ccgtH2,ccgtH2BackProLow,,h2,electricity; processHeat_low,,,mature,none,,,,
ccgt,ccgtH2,ccgtH2Extract,onlyElec; elecAndHeat ,h2,electricity; districtHeat,,,mature,none,,,,
ccgt,ccgtProMed,ccgtGasBackProMed,,gasFuel,electricity; processHeat_medium,,,mature,none,,,,
ccgt,ccgtProMed,ccgtH2BackProMed,,h2,electricity; processHeat_medium,,,mature,none,,,,
engine,engineDh,bioGasEngineDh,,rawBiogas,electricity; districtHeat,,,mature,none,,,,
engine,engineDh,gasEngineDh,,gasFuel,electricity; districtHeat,,,mature,none,,,,
engine,engineLow,bioGasEngineProLow,,rawBiogas,electricity; processHeat_low,,,mature,none,,,,
engine,engineLow,bioGasEngineProMed,,rawBiogas,electricity; processHeat_medium,,,mature,none,,,,
engine,engineLow,gasEngineProLow,,gasFuel,electricity; processHeat_low,,,mature,none,,,,
engine,engineMed,gasEngineProMed,,gasFuel,electricity; processHeat_medium,,,mature,none,,,,
engine,enginePeak,dieselEngine,,diesel,electricity,,,mature,none,,,,
engine,enginePeak,gasEngine,,gasFuel,electricity,,,mature,none,,,,
heatpump,heatpumpAir,heatpumpAirSpace,,electricity,spaceHeat,,spaceHeat,mature,none,,,,
heatpump,,heatpumpGroundSpace,,electricity,spaceHeat,,spaceHeat,mature,none,,,,
heatpump,heatpumpAir,heatpumpAirDh,,electricity,districtHeat,,,mature,none,,,,
heatpump,,heatpumpPro,,electricity,processHeat_low,,processHeat_low,mature,none,,,,
miscProHeat,bioBoilerPro,bioBoilerProLow,,solidBiomass,processHeat_low,,,mature,none,,,,
miscProHeat,bioBoilerPro,bioBoilerProMed,,rawBiogas,processHeat_medium,,,mature,none,,,,
miscProHeat,electricHeatPro,eBoilerProHigh,,electricity,processHeat_high,,,mature,none,,,,
miscProHeat,electricHeatPro,eBoilerProLow,,electricity,processHeat_low,,processHeat_low,mature,none,,,,
miscProHeat,electricHeatPro,eBoilerProMed,,electricity,processHeat_medium,,,mature,none,,,,
miscProHeat,gasBoilerPro,gasBoilerProHigh,,gasFuel,processHeat_high,,,mature,none,,,,
miscProHeat,gasBoilerPro,gasBoilerProLow,,gasFuel,processHeat_low,,,mature,none,,,,
miscProHeat,gasBoilerPro,gasBoilerProMed,,gasFuel,processHeat_medium,,,mature,none,,,,
miscProHeat,h2BoilerPro,h2BoilerProHigh,,h2,processHeat_high,,,mature,none,,,,
miscProHeat,h2BoilerPro,h2BoilerProLow,,h2,processHeat_low,,,mature,none,,,,
miscProHeat,h2BoilerPro,h2BoilerProMed,,h2,processHeat_medium,,,mature,none,,,,
miscProHeat,oilBoilerPro,oilBoilerProLow,,refinedOil,processHeat_low,,,mature,none,,,,
miscProHeat,oilBoilerPro,oilBoilerProMed,,refinedOil,processHeat_medium,,,mature,none,,,,
miscSpaceHeat,,bioBoilerSpace,,solidBiomass,spaceHeat,,,mature,none,,,,
miscSpaceHeat,,gasBoilerSpace,,gasFuel,spaceHeat,,,mature,none,,,,
miscSpaceHeat,,resistiveHeatSpace,,electricity,spaceHeat,,spaceHeat,mature,none,,,,
networkHeat,heatGrid,districtHeatPro,,districtHeat,processHeat_low,,,mature,none,,,,
networkHeat,heatGrid,districtHeatSpace,,districtHeat,spaceHeat,,,mature,none,,,,
networkHeat,,eBoilerDh,,electricity,districtHeat,,,mature,none,,,,
networkHeat,,gasBoilerDh,,gasFuel,districtHeat,,,mature,none,,,,
networkHeat,,h2BoilerDh,,h2,districtHeat,,,mature,none,,,,
networkHeat,,largeWaterTank,,,,districtHeat,districtHeat,mature,none,,,,
networkHeat,,nonSolidBioBoilerDh,,nonSolidBiomass,districtHeat,,,mature,none,,,,
networkHeat,,oilBoilerDh,,refinedOil,districtHeat,,,mature,none,,,,
networkHeat,,pitThermalStorage,,,,districtHeat,districtHeat,mature,none,,,,
networkHeat,,solidBioBoilerDh,,solidBiomass,districtHeat,,,mature,none,,,,
ocgt,,ocgtGas,,gasFuel,electricity,,,mature,none,,,,
ocgt,,ocgtGasChp,,gasFuel,electricity; districtHeat,,,mature,none,,,,
ocgt,,ocgtGasChpH2Rdy,,gasFuel,electricity; districtHeat,,,mature,none,,,,
ocgt,,ocgtGasH2Rdy,,gasFuel,electricity,,,mature,none,,,,
ocgt,,ocgtH2,,h2,electricity,,,mature,none,,,,
ocgt,,ocgtH2Chp,,h2,electricity; districtHeat,,,mature,none,,,,
powerToX,electrolysis,alkElectrolysis,,electricity,h2; districtHeat,,,mature,none,,,,
powerToX,electrolysis,pemElectrolysis,,electricity,h2; districtHeat,,,mature,none,,,,
powerToX,electrolysis,soElectrolysis,,electricity; processHeat_high,h2,,,emerging,none,,,,
powerToX,h2Storage,h2StorageCavern,,,,h2,h2,mature,none,,,,
powerToX,h2Storage,h2StorageTank,,,,h2,h2,mature,none,,,,
powerToX,synthFuel,bioMethanation,,rawBiogas; h2,synthGas,,,mature,none,,,,
powerToX,synthFuel,methanePyrolysis,,gasFuel; electricity,h2; processHeat_high,,,mature,none,,,,
powerToX,,directAirCapture,,electricity; processHeat_low,capturedCO2,,,emerging,none,,eq,,
powerToX,,h2ToCrudeOil,,h2; capturedCO2,crudeOil; districtHeat,,,mature,none,,,,
powerToX,,pefc,,h2,electricity; districtHeat,,,mature,none,,,,
powerToX,,refinery,,crudeOil,refinedOil; jetFuel; diesel; gasoline,,,stock,none,,,,
powerToX,,sofc,,gasFuel,electricity; processHeat_high,,,mature,none,,,,
solar,openspace_a,pvOpenspace_a,,,electricity,,,mature,none,4,,,yes
solar,openspace_b,pvOpenspace_b,,,electricity,,,mature,none,4,,,yes
solar,openspace_c,pvOpenspace_c,,,electricity,,,mature,none,4,,,yes
solar,openspace_a,cspOpenspace_a,,,electricity,,,stock,none,4,,,yes
solar,openspace_b,cspOpenspace_b,,,electricity,,,stock,none,4,,,yes
solar,openspace_c,cspOpenspace_c,,,electricity,,,stock,none,4,,,yes
solar,rooftopInd_a,pvInd_a,,,electricity,,,mature,none,4,,,yes
solar,rooftopInd_b,pvInd_b,,,electricity,,,mature,none,4,,,yes
solar,rooftopResi_a,pvResi_a,,,electricity,,,mature,none,4,,,yes
solar,rooftopResi_a,solarThermalResi_a,,,spaceHeat,,spaceHeat,mature,none,4,,,yes
solar,rooftopResi_b,pvResi_b,,,electricity,,,mature,none,4,,,yes
solar,rooftopResi_b,solarThermalResi_b,,,spaceHeat,,spaceHeat,mature,none,4,,,yes
transport,bev,bevFrtRoadHeavy,,electricity,frtRoadHeavy,,,emerging,none,,,,
