region_2,timestep_6,value,scenario_1,parameter,technology_3
AT,h0025,0.19805557466182983,scr1992,stInflow,pumpedStorageOpen
AT,h0026,0.20739576668811643,scr1992,stInflow,pumpedStorageOpen
AT,h0027,0.21329440764149027,scr1992,stInflow,pumpedStorageOpen
AT,h0028,0.2193639108601264,scr1992,stInflow,pumpedStorageOpen
AT,h0029,0.22709501377772012,scr1992,stInflow,pumpedStorageOpen
AT,h0030,0.23507887495499424,scr1992,stInflow,pumpedStorageOpen
AT,h0031,0.25193396315967415,scr1992,stInflow,pumpedStorageOpen
AT,h0032,0.2608059368619186,scr1992,stInflow,pumpedStorageOpen
AT,h0033,0.2805792429980312,scr1992,stInflow,pumpedStorageOpen
AT,h0034,0.2915431942378691,scr1992,stInflow,pumpedStorageOpen
AT,h0035,0.30281124376231455,scr1992,stInflow,pumpedStorageOpen
AT,h0036,0.3195632597755139,scr1992,stInflow,pumpedStorageOpen
AT,h0037,0.3369255820357794,scr1992,stInflow,pumpedStorageOpen
AT,h0038,0.37922300947346943,scr1992,stInflow,pumpedStorageOpen
AT,h0039,0.4045422883394034,scr1992,stInflow,pumpedStorageOpen
AT,h0040,0.4598257579890554,scr1992,stInflow,pumpedStorageOpen
AT,h0041,0.48987674580858653,scr1992,stInflow,pumpedStorageOpen
AT,h0042,0.5526969632428962,scr1992,stInflow,pumpedStorageOpen
AT,h0043,0.5854106574858391,scr1992,stInflow,pumpedStorageOpen
AT,h0044,0.6190865213085359,scr1992,stInflow,pumpedStorageOpen
AT,h0045,0.6507980395346125,scr1992,stInflow,pumpedStorageOpen
AT,h0046,0.6832965521630021,scr1992,stInflow,pumpedStorageOpen
AT,h0047,0.746610734912805,scr1992,stInflow,pumpedStorageOpen
AT,h0048,0.7772425193154349,scr1992,stInflow,pumpedStorageOpen
BA,h0025,0.0,scr1992,stInflow,pumpedStorageOpen
BA,h0026,0.0,scr1992,stInflow,pumpedStorageOpen
BA,h0027,0.0,scr1992,stInflow,pumpedStorageOpen
BA,h0028,0.0,scr1992,stInflow,pumpedStorageOpen
BA,h0029,0.022893642254686975,scr1992,stInflow,pumpedStorageOpen
BA,h0030,0.044538315860432665,scr1992,stInflow,pumpedStorageOpen
BA,h0031,0.10212131156634839,scr1992,stInflow,pumpedStorageOpen
BA,h0032,0.13796410407644466,scr1992,stInflow,pumpedStorageOpen
BA,h0033,0.1855080050143613,scr1992,stInflow,pumpedStorageOpen
BA,h0034,0.1975639035714163,scr1992,stInflow,pumpedStorageOpen
BA,h0035,0.2095892857142857,scr1992,stInflow,pumpedStorageOpen
BA,h0036,0.18347035357264202,scr1992,stInflow,pumpedStorageOpen
BA,h0037,0.15719540598294593,scr1992,stInflow,pumpedStorageOpen
BA,h0038,0.11492943247114602,scr1992,stInflow,pumpedStorageOpen
BA,h0039,0.09903196186223726,scr1992,stInflow,pumpedStorageOpen
BA,h0040,0.0646815271140208,scr1992,stInflow,pumpedStorageOpen
BA,h0041,0.04611369687592249,scr1992,stInflow,pumpedStorageOpen
BA,h0042,0.0335817835999856,scr1992,stInflow,pumpedStorageOpen
BA,h0043,0.03989380563913632,scr1992,stInflow,pumpedStorageOpen
BA,h0044,0.04616441254327428,scr1992,stInflow,pumpedStorageOpen
BA,h0045,0.0343974428393548,scr1992,stInflow,pumpedStorageOpen
BA,h0046,0.022456955483695296,scr1992,stInflow,pumpedStorageOpen
BA,h0047,0.009793749919236323,scr1992,stInflow,pumpedStorageOpen
BA,h0048,0.009356291995157182,scr1992,stInflow,pumpedStorageOpen
BG,h0025,0.038025111694797706,scr1992,stInflow,pumpedStorageOpen
BG,h0026,0.03963731424689011,scr1992,stInflow,pumpedStorageOpen
BG,h0027,0.034014201499172614,scr1992,stInflow,pumpedStorageOpen
BG,h0028,0.02840932853933717,scr1992,stInflow,pumpedStorageOpen
BG,h0029,0.02062062772970169,scr1992,stInflow,pumpedStorageOpen
BG,h0030,0.012890312897806561,scr1992,stInflow,pumpedStorageOpen
BG,h0031,0.004786045969878997,scr1992,stInflow,pumpedStorageOpen
BG,h0032,0.004318208657333054,scr1992,stInflow,pumpedStorageOpen
BG,h0033,0.008134210365513884,scr1992,stInflow,pumpedStorageOpen
BG,h0034,0.01246315315702763,scr1992,stInflow,pumpedStorageOpen
BG,h0035,0.01682208622332343,scr1992,stInflow,pumpedStorageOpen
BG,h0036,0.03362779410644218,scr1992,stInflow,pumpedStorageOpen
BG,h0037,0.05060726619897543,scr1992,stInflow,pumpedStorageOpen
BG,h0038,0.07310342515113168,scr1992,stInflow,pumpedStorageOpen
BG,h0039,0.0785132281787335,scr1992,stInflow,pumpedStorageOpen
BG,h0040,0.08823470912776861,scr1992,stInflow,pumpedStorageOpen
BG,h0041,0.09254317822253613,scr1992,stInflow,pumpedStorageOpen
BG,h0042,0.10038504199954391,scr1992,stInflow,pumpedStorageOpen
BG,h0043,0.10391692996245237,scr1992,stInflow,pumpedStorageOpen
BG,h0044,0.10745118106733796,scr1992,stInflow,pumpedStorageOpen
BG,h0045,0.12448766593309285,scr1992,stInflow,pumpedStorageOpen
BG,h0046,0.14157028766767837,scr1992,stInflow,pumpedStorageOpen
BG,h0047,0.15819762240630886,scr1992,stInflow,pumpedStorageOpen
BG,h0048,0.15770160991041093,scr1992,stInflow,pumpedStorageOpen
CH,h0025,0.5348307916878712,scr1992,stInflow,pumpedStorageOpen
CH,h0026,0.6041436511929781,scr1992,stInflow,pumpedStorageOpen
CH,h0027,0.6400305630121035,scr1992,stInflow,pumpedStorageOpen
CH,h0028,0.6767004064010214,scr1992,stInflow,pumpedStorageOpen
CH,h0029,0.7123379454125895,scr1992,stInflow,pumpedStorageOpen
CH,h0030,0.7486428705177157,scr1992,stInflow,pumpedStorageOpen
CH,h0031,0.7617977471770938,scr1992,stInflow,pumpedStorageOpen
CH,h0032,0.7382637280045508,scr1992,stInflow,pumpedStorageOpen
CH,h0033,0.6656357943173892,scr1992,stInflow,pumpedStorageOpen
CH,h0034,0.6176107339457617,scr1992,stInflow,pumpedStorageOpen
CH,h0035,0.5709850677612285,scr1992,stInflow,pumpedStorageOpen
CH,h0036,0.5653079911903338,scr1992,stInflow,pumpedStorageOpen
CH,h0037,0.5596535917060911,scr1992,stInflow,pumpedStorageOpen
CH,h0038,0.578413126856986,scr1992,stInflow,pumpedStorageOpen
CH,h0039,0.6032181486472052,scr1992,stInflow,pumpedStorageOpen
CH,h0040,0.6540284838955344,scr1992,stInflow,pumpedStorageOpen
CH,h0041,0.6800147106588921,scr1992,stInflow,pumpedStorageOpen
CH,h0042,0.733104398967906,scr1992,stInflow,pumpedStorageOpen
