region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0478,0.11308434949603892,scr1984,mustOut,psngRoadPrvt
AT,h0479,0.08296494968648117,scr1984,mustOut,psngRoadPrvt
AT,h0480,0.06378703960139663,scr1984,mustOut,psngRoadPrvt
AT,h0481,0.037214442884413015,scr1984,mustOut,psngRoadPrvt
AT,h0482,0.01258608617188541,scr1984,mustOut,psngRoadPrvt
AT,h0483,0.0003291232147917847,scr1984,mustOut,psngRoadPrvt
AT,h0484,0.0011183569056842295,scr1984,mustOut,psngRoadPrvt
AT,h0485,0.0037274716901094206,scr1984,mustOut,psngRoadPrvt
AT,h0486,0.016199629671247242,scr1984,mustOut,psngRoadPrvt
AT,h0487,0.06240834005040511,scr1984,mustOut,psngRoadPrvt
AT,h0488,0.1274285245825121,scr1984,mustOut,psngRoadPrvt
AT,h0489,0.16540746000338416,scr1984,mustOut,psngRoadPrvt
AT,h0490,0.16444949492765518,scr1984,mustOut,psngRoadPrvt
AT,h0491,0.14380439898132005,scr1984,mustOut,psngRoadPrvt
AT,h0492,0.15761872547160177,scr1984,mustOut,psngRoadPrvt
AT,h0493,0.1731840782876291,scr1984,mustOut,psngRoadPrvt
AT,h0494,0.19688491111976716,scr1984,mustOut,psngRoadPrvt
AT,h0495,0.18864059258614138,scr1984,mustOut,psngRoadPrvt
AT,h0496,0.18602689094507227,scr1984,mustOut,psngRoadPrvt
AT,h0497,0.1960252073089646,scr1984,mustOut,psngRoadPrvt
AT,h0498,0.23615183488777133,scr1984,mustOut,psngRoadPrvt
AT,h0499,0.2537244537840553,scr1984,mustOut,psngRoadPrvt
AT,h0500,0.22812331440598402,scr1984,mustOut,psngRoadPrvt
AT,h0501,0.16387826577025044,scr1984,mustOut,psngRoadPrvt
AT,h0502,0.11308434949603892,scr1984,mustOut,psngRoadPrvt
AT,h0503,0.08296494968648117,scr1984,mustOut,psngRoadPrvt
AT,h0504,0.06378703960139663,scr1984,mustOut,psngRoadPrvt
BE,h0337,0.037214442884413015,scr1984,mustOut,psngRoadPrvt
BE,h0338,0.01258608617188541,scr1984,mustOut,psngRoadPrvt
BE,h0339,0.0003291232147917847,scr1984,mustOut,psngRoadPrvt
BE,h0340,0.0011183569056842295,scr1984,mustOut,psngRoadPrvt
BE,h0341,0.0037274716901094206,scr1984,mustOut,psngRoadPrvt
BE,h0342,0.016199629671247242,scr1984,mustOut,psngRoadPrvt
BE,h0343,0.06240834005040511,scr1984,mustOut,psngRoadPrvt
BE,h0344,0.1274285245825121,scr1984,mustOut,psngRoadPrvt
BE,h0345,0.16540746000338416,scr1984,mustOut,psngRoadPrvt
BE,h0346,0.16444949492765518,scr1984,mustOut,psngRoadPrvt
BE,h0347,0.14380439898132005,scr1984,mustOut,psngRoadPrvt
BE,h0348,0.15761872547160177,scr1984,mustOut,psngRoadPrvt
BE,h0349,0.182177134150767,scr1984,mustOut,psngRoadPrvt
BE,h0350,0.21308449062727014,scr1984,mustOut,psngRoadPrvt
BE,h0351,0.23494665381775434,scr1984,mustOut,psngRoadPrvt
BE,h0352,0.25849563554881433,scr1984,mustOut,psngRoadPrvt
BE,h0353,0.28665223891358044,scr1984,mustOut,psngRoadPrvt
BE,h0354,0.30144778591957766,scr1984,mustOut,psngRoadPrvt
BE,h0355,0.28367219920141445,scr1984,mustOut,psngRoadPrvt
BE,h0356,0.23277801830075384,scr1984,mustOut,psngRoadPrvt
BE,h0357,0.16387826577025044,scr1984,mustOut,psngRoadPrvt
BE,h0358,0.11308434949603892,scr1984,mustOut,psngRoadPrvt
BE,h0359,0.08296494968648117,scr1984,mustOut,psngRoadPrvt
BE,h0360,0.06378703960139663,scr1984,mustOut,psngRoadPrvt
BE,h0361,0.037172259672823546,scr1984,mustOut,psngRoadPrvt
BE,h0362,0.012486278754563356,scr1984,mustOut,psngRoadPrvt
BE,h0363,0.0007900463948233284,scr1984,mustOut,psngRoadPrvt
BE,h0364,0.002060294399451544,scr1984,mustOut,psngRoadPrvt
BE,h0365,0.0037241572780609073,scr1984,mustOut,psngRoadPrvt
BE,h0366,0.006776995699948592,scr1984,mustOut,psngRoadPrvt
BE,h0367,0.05204914507781132,scr1984,mustOut,psngRoadPrvt
BE,h0368,0.1179721641666129,scr1984,mustOut,psngRoadPrvt
BE,h0369,0.16540746000338416,scr1984,mustOut,psngRoadPrvt
BE,h0370,0.16444949492765518,scr1984,mustOut,psngRoadPrvt
BE,h0371,0.14380439898132005,scr1984,mustOut,psngRoadPrvt
BE,h0372,0.15761872547160177,scr1984,mustOut,psngRoadPrvt
BE,h0373,0.20526077092889486,scr1984,mustOut,psngRoadPrvt
BE,h0374,0.2585515325821681,scr1984,mustOut,psngRoadPrvt
BE,h0375,0.2920963347740223,scr1984,mustOut,psngRoadPrvt
BE,h0376,0.28983002315896006,scr1984,mustOut,psngRoadPrvt
BE,h0377,0.281700665505198,scr1984,mustOut,psngRoadPrvt
BE,h0378,0.2696270950789167,scr1984,mustOut,psngRoadPrvt
BE,h0379,0.2544700188787179,scr1984,mustOut,psngRoadPrvt
BE,h0380,0.21757818692798722,scr1984,mustOut,psngRoadPrvt
BE,h0381,0.16387826577025044,scr1984,mustOut,psngRoadPrvt
BE,h0382,0.11308434949603892,scr1984,mustOut,psngRoadPrvt
BE,h0383,0.08296494968648117,scr1984,mustOut,psngRoadPrvt
BE,h0384,0.06378703960139663,scr1984,mustOut,psngRoadPrvt
BE,h0385,0.037259172624742314,scr1984,mustOut,psngRoadPrvt
BE,h0386,0.012610044956384202,scr1984,mustOut,psngRoadPrvt
BE,h0387,0.0006019856732100998,scr1984,mustOut,psngRoadPrvt
BE,h0388,0.0016360483175151797,scr1984,mustOut,psngRoadPrvt
BE,h0389,0.0030824947771477076,scr1984,mustOut,psngRoadPrvt
BE,h0390,0.008636798009626922,scr1984,mustOut,psngRoadPrvt
BE,h0391,0.05418372984287173,scr1984,mustOut,psngRoadPrvt
BE,h0392,0.12034823577580264,scr1984,mustOut,psngRoadPrvt
BE,h0393,0.16540746000338416,scr1984,mustOut,psngRoadPrvt
BE,h0394,0.16444949492765518,scr1984,mustOut,psngRoadPrvt
BE,h0395,0.14380439898132005,scr1984,mustOut,psngRoadPrvt
BE,h0396,0.15761872547160177,scr1984,mustOut,psngRoadPrvt
BE,h0397,0.1731840782876291,scr1984,mustOut,psngRoadPrvt
BE,h0398,0.19688491111976716,scr1984,mustOut,psngRoadPrvt
BE,h0399,0.18864059258614138,scr1984,mustOut,psngRoadPrvt
BE,h0400,0.18602689094507227,scr1984,mustOut,psngRoadPrvt
BE,h0401,0.1960252073089646,scr1984,mustOut,psngRoadPrvt
BE,h0402,0.23615183488777133,scr1984,mustOut,psngRoadPrvt
BE,h0403,0.2537244537840553,scr1984,mustOut,psngRoadPrvt
