region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0001,0.14581143449735134,scr2086,avaConv,wind
AL,h0002,0.14298492271420327,scr2086,avaConv,wind
AL,h0003,0.14171645067386865,scr2086,avaConv,wind
AL,h0004,0.13987631590234043,scr2086,avaConv,wind
AL,h0005,0.13738028539726194,scr2086,avaConv,wind
AL,h0006,0.13173848398255092,scr2086,avaConv,wind
AL,h0007,0.12010538138621912,scr2086,avaConv,wind
AL,h0008,0.10366091050998284,scr2086,avaConv,wind
AL,h0009,0.08144958109176302,scr2086,avaConv,wind
AL,h0010,0.05790984352998861,scr2086,avaConv,wind
AL,h0011,0.03834940515416677,scr2086,avaConv,wind
AL,h0012,0.028438647556574503,scr2086,avaConv,wind
AL,h0013,0.031930839417856016,scr2086,avaConv,wind
AL,h0014,0.05056638588721053,scr2086,avaConv,wind
AL,h0015,0.08416821108647908,scr2086,avaConv,wind
AL,h0016,0.1290093894124941,scr2086,avaConv,wind
AL,h0017,0.1750047517443074,scr2086,avaConv,wind
AL,h0018,0.21167399042881177,scr2086,avaConv,wind
AL,h0019,0.23240396449475798,scr2086,avaConv,wind
AL,h0020,0.24138538181297492,scr2086,avaConv,wind
AL,h0021,0.24538280148773664,scr2086,avaConv,wind
AL,h0022,0.24889176277565364,scr2086,avaConv,wind
AL,h0023,0.2544777914260205,scr2086,avaConv,wind
AL,h0024,0.2634754063330577,scr2086,avaConv,wind
AL,h0025,0.2758276216255631,scr2086,avaConv,wind
AL,h0026,0.28919123804246893,scr2086,avaConv,wind
AL,h0027,0.30257706987315264,scr2086,avaConv,wind
AL,h0028,0.3117161836923654,scr2086,avaConv,wind
AL,h0029,0.3092125899991801,scr2086,avaConv,wind
AL,h0030,0.28868379104723935,scr2086,avaConv,wind
AL,h0031,0.2525355774080975,scr2086,avaConv,wind
AL,h0032,0.2090196523983985,scr2086,avaConv,wind
AL,h0033,0.1687714093075202,scr2086,avaConv,wind
AL,h0034,0.13918830428641052,scr2086,avaConv,wind
AL,h0035,0.1225055686056827,scr2086,avaConv,wind
AL,h0036,0.11900925039695956,scr2086,avaConv,wind
AL,h0037,0.12684335920924564,scr2086,avaConv,wind
AL,h0038,0.14089217976701027,scr2086,avaConv,wind
AL,h0039,0.1503560782076419,scr2086,avaConv,wind
AL,h0040,0.14676269847431414,scr2086,avaConv,wind
AL,h0041,0.134512187947006,scr2086,avaConv,wind
