region_2,timestep_6,value,scenario_1,parameter,technology_3
AT,h0025,0.15588855979192093,scr1990,stInflow,pumpedStorageOpen
AT,h0026,0.16332271822327113,scr1990,stInflow,pumpedStorageOpen
AT,h0027,0.16853446525602106,scr1990,stInflow,pumpedStorageOpen
AT,h0028,0.17389148922482967,scr1990,stInflow,pumpedStorageOpen
AT,h0029,0.1813403403243936,scr1990,stInflow,pumpedStorageOpen
AT,h0030,0.1890414780930948,scr1990,stInflow,pumpedStorageOpen
AT,h0031,0.2053667630312535,scr1990,stInflow,pumpedStorageOpen
AT,h0032,0.21399083879887787,scr1990,stInflow,pumpedStorageOpen
AT,h0033,0.2330251955297703,scr1990,stInflow,pumpedStorageOpen
AT,h0034,0.24348217601097694,scr1990,stInflow,pumpedStorageOpen
AT,h0035,0.25422094909487875,scr1990,stInflow,pumpedStorageOpen
AT,h0036,0.26949654969088643,scr1990,stInflow,pumpedStorageOpen
AT,h0037,0.2852853096275143,scr1990,stInflow,pumpedStorageOpen
AT,h0038,0.32306169445910127,scr1990,stInflow,pumpedStorageOpen
AT,h0039,0.3453232586790038,scr1990,stInflow,pumpedStorageOpen
AT,h0040,0.3935150421515893,scr1990,stInflow,pumpedStorageOpen
AT,h0041,0.41949644027196287,scr1990,stInflow,pumpedStorageOpen
AT,h0042,0.4738139700619025,scr1990,stInflow,pumpedStorageOpen
AT,h0043,0.5021175249691574,scr1990,stInflow,pumpedStorageOpen
AT,h0044,0.5311613237298461,scr1990,stInflow,pumpedStorageOpen
AT,h0045,0.5610007097559716,scr1990,stInflow,pumpedStorageOpen
AT,h0046,0.5915565060376492,scr1990,stInflow,pumpedStorageOpen
AT,h0047,0.654863515401418,scr1990,stInflow,pumpedStorageOpen
AT,h0048,0.6875958338500563,scr1990,stInflow,pumpedStorageOpen
BA,h0025,0.0001166580651253206,scr1990,stInflow,pumpedStorageOpen
BA,h0026,0.0005913907113675064,scr1990,stInflow,pumpedStorageOpen
BA,h0027,0.000926891730372683,scr1990,stInflow,pumpedStorageOpen
BA,h0028,0.001361516102956218,scr1990,stInflow,pumpedStorageOpen
BA,h0029,0.00779026022533155,scr1990,stInflow,pumpedStorageOpen
BA,h0030,0.022176704397734105,scr1990,stInflow,pumpedStorageOpen
BA,h0031,0.03192919194385681,scr1990,stInflow,pumpedStorageOpen
BA,h0032,0.020351846384940007,scr1990,stInflow,pumpedStorageOpen
BA,h0033,0.013594714024775342,scr1990,stInflow,pumpedStorageOpen
BA,h0034,0.01550847327841299,scr1990,stInflow,pumpedStorageOpen
BA,h0035,0.01758242395868549,scr1990,stInflow,pumpedStorageOpen
BA,h0036,0.03577924145442622,scr1990,stInflow,pumpedStorageOpen
BA,h0037,0.06267563990089847,scr1990,stInflow,pumpedStorageOpen
BA,h0038,0.07682738095238095,scr1990,stInflow,pumpedStorageOpen
BA,h0039,0.057633627740079976,scr1990,stInflow,pumpedStorageOpen
BA,h0040,0.0511020346605466,scr1990,stInflow,pumpedStorageOpen
BA,h0041,0.06165293434847692,scr1990,stInflow,pumpedStorageOpen
BA,h0042,0.03855558884087342,scr1990,stInflow,pumpedStorageOpen
BA,h0043,0.016449526924546126,scr1990,stInflow,pumpedStorageOpen
BA,h0044,0.004674091286156996,scr1990,stInflow,pumpedStorageOpen
BA,h0045,0.003036308564584312,scr1990,stInflow,pumpedStorageOpen
BA,h0046,0.0018145989233831832,scr1990,stInflow,pumpedStorageOpen
BA,h0047,0.00032462579009964623,scr1990,stInflow,pumpedStorageOpen
BA,h0048,0.0,scr1990,stInflow,pumpedStorageOpen
BG,h0025,0.003567846229827032,scr1990,stInflow,pumpedStorageOpen
BG,h0026,0.004950431050915441,scr1990,stInflow,pumpedStorageOpen
BG,h0027,0.006114273925892076,scr1990,stInflow,pumpedStorageOpen
BG,h0028,0.007335046920582321,scr1990,stInflow,pumpedStorageOpen
BG,h0029,0.008431599397794847,scr1990,stInflow,pumpedStorageOpen
BG,h0030,0.0095623599469881,scr1990,stInflow,pumpedStorageOpen
BG,h0031,0.012748540053548226,scr1990,stInflow,pumpedStorageOpen
BG,h0032,0.014846912119034834,scr1990,stInflow,pumpedStorageOpen
BG,h0033,0.02815355861653584,scr1990,stInflow,pumpedStorageOpen
BG,h0034,0.04034794933811365,scr1990,stInflow,pumpedStorageOpen
BG,h0035,0.05338526245313168,scr1990,stInflow,pumpedStorageOpen
BG,h0036,0.049114515355616034,scr1990,stInflow,pumpedStorageOpen
BG,h0037,0.044920566956968305,scr1990,stInflow,pumpedStorageOpen
BG,h0038,0.03684364249472946,scr1990,stInflow,pumpedStorageOpen
BG,h0039,0.03296806538828505,scr1990,stInflow,pumpedStorageOpen
BG,h0040,0.03440672688800623,scr1990,stInflow,pumpedStorageOpen
BG,h0041,0.03980050891103453,scr1990,stInflow,pumpedStorageOpen
BG,h0042,0.05186607451139897,scr1990,stInflow,pumpedStorageOpen
BG,h0043,0.05855531032309236,scr1990,stInflow,pumpedStorageOpen
BG,h0044,0.0654090361538879,scr1990,stInflow,pumpedStorageOpen
BG,h0045,0.07085494084033087,scr1990,stInflow,pumpedStorageOpen
BG,h0046,0.07638988971360323,scr1990,stInflow,pumpedStorageOpen
BG,h0047,0.08072352511738325,scr1990,stInflow,pumpedStorageOpen
BG,h0048,0.07944133380255358,scr1990,stInflow,pumpedStorageOpen
CH,h0025,0.3858262934458256,scr1990,stInflow,pumpedStorageOpen
CH,h0026,0.3702563662488814,scr1990,stInflow,pumpedStorageOpen
CH,h0027,0.36267745029238513,scr1990,stInflow,pumpedStorageOpen
CH,h0028,0.35524040621203423,scr1990,stInflow,pumpedStorageOpen
CH,h0029,0.34929717027826207,scr1990,stInflow,pumpedStorageOpen
CH,h0030,0.34345238095238095,scr1990,stInflow,pumpedStorageOpen
CH,h0031,0.3771843071514206,scr1990,stInflow,pumpedStorageOpen
CH,h0032,0.42053731984137643,scr1990,stInflow,pumpedStorageOpen
CH,h0033,0.5446697163587744,scr1990,stInflow,pumpedStorageOpen
CH,h0034,0.6284966696137884,scr1990,stInflow,pumpedStorageOpen
CH,h0035,0.7182236172307702,scr1990,stInflow,pumpedStorageOpen
CH,h0036,0.8505812267291081,scr1990,stInflow,pumpedStorageOpen
CH,h0037,0.9922713239454684,scr1990,stInflow,pumpedStorageOpen
CH,h0038,1.334224889594552,scr1990,stInflow,pumpedStorageOpen
CH,h0039,1.5366374874767055,scr1990,stInflow,pumpedStorageOpen
CH,h0040,1.970939966563797,scr1990,stInflow,pumpedStorageOpen
CH,h0041,2.2017347356387758,scr1990,stInflow,pumpedStorageOpen
CH,h0042,2.6884192884483524,scr1990,stInflow,pumpedStorageOpen
CH,h0043,2.9435891661513187,scr1990,stInflow,pumpedStorageOpen
CH,h0044,3.2062296325903787,scr1990,stInflow,pumpedStorageOpen
CH,h0045,3.4604032601424253,scr1990,stInflow,pumpedStorageOpen
CH,h0046,3.720767071559029,scr1990,stInflow,pumpedStorageOpen
CH,h0047,4.199214521126899,scr1990,stInflow,pumpedStorageOpen
CH,h0048,4.4147735912267265,scr1990,stInflow,pumpedStorageOpen
CZ,h0025,0.00648859722685508,scr1990,stInflow,pumpedStorageOpen
CZ,h0026,0.00514862847899095,scr1990,stInflow,pumpedStorageOpen
CZ,h0027,0.0046769468160664344,scr1990,stInflow,pumpedStorageOpen
CZ,h0028,0.004213727160960607,scr1990,stInflow,pumpedStorageOpen
CZ,h0029,0.004609065277149016,scr1990,stInflow,pumpedStorageOpen
CZ,h0030,0.00501065226734097,scr1990,stInflow,pumpedStorageOpen
CZ,h0031,0.005426559356706611,scr1990,stInflow,pumpedStorageOpen
CZ,h0032,0.0054350218486592695,scr1990,stInflow,pumpedStorageOpen
CZ,h0033,0.005456188311246078,scr1990,stInflow,pumpedStorageOpen
CZ,h0034,0.005468895191775305,scr1990,stInflow,pumpedStorageOpen
CZ,h0035,0.005481607313254254,scr1990,stInflow,pumpedStorageOpen
CZ,h0036,0.005382169778938043,scr1990,stInflow,pumpedStorageOpen
CZ,h0037,0.005283057759981041,scr1990,stInflow,pumpedStorageOpen
CZ,h0038,0.006342631353872559,scr1990,stInflow,pumpedStorageOpen
CZ,h0039,0.0075393913872675855,scr1990,stInflow,pumpedStorageOpen
CZ,h0040,0.008046342722002504,scr1990,stInflow,pumpedStorageOpen
CZ,h0041,0.007333760760736633,scr1990,stInflow,pumpedStorageOpen
CZ,h0042,0.005970615102295934,scr1990,stInflow,pumpedStorageOpen
CZ,h0043,0.005320976802857973,scr1990,stInflow,pumpedStorageOpen
CZ,h0044,0.004685187060163482,scr1990,stInflow,pumpedStorageOpen
CZ,h0045,0.004390217892820511,scr1990,stInflow,pumpedStorageOpen
CZ,h0046,0.004098822631401147,scr1990,stInflow,pumpedStorageOpen
CZ,h0047,0.003860853330851945,scr1990,stInflow,pumpedStorageOpen
CZ,h0048,0.003910627265326428,scr1990,stInflow,pumpedStorageOpen
DE,h0025,0.05550594165802504,scr1990,stInflow,pumpedStorageOpen
DE,h0026,0.06797795176413611,scr1990,stInflow,pumpedStorageOpen
DE,h0027,0.07095488248642637,scr1990,stInflow,pumpedStorageOpen
DE,h0028,0.07392275040411322,scr1990,stInflow,pumpedStorageOpen
DE,h0029,0.07481459298708408,scr1990,stInflow,pumpedStorageOpen
DE,h0030,0.07570566140030899,scr1990,stInflow,pumpedStorageOpen
DE,h0031,0.07454891236031282,scr1990,stInflow,pumpedStorageOpen
DE,h0032,0.0724977539453845,scr1990,stInflow,pumpedStorageOpen
DE,h0033,0.06844241947325326,scr1990,stInflow,pumpedStorageOpen
DE,h0034,0.06643822126917087,scr1990,stInflow,pumpedStorageOpen
DE,h0035,0.064429623148969,scr1990,stInflow,pumpedStorageOpen
DE,h0036,0.06547809008991484,scr1990,stInflow,pumpedStorageOpen
DE,h0037,0.06652534008195987,scr1990,stInflow,pumpedStorageOpen
DE,h0038,0.06486724309187555,scr1990,stInflow,pumpedStorageOpen
DE,h0039,0.06215488663530158,scr1990,stInflow,pumpedStorageOpen
DE,h0040,0.0613856897382945,scr1990,stInflow,pumpedStorageOpen
DE,h0041,0.06333296949454427,scr1990,stInflow,pumpedStorageOpen
DE,h0042,0.06181153163043622,scr1990,stInflow,pumpedStorageOpen
DE,h0043,0.05833301794873706,scr1990,stInflow,pumpedStorageOpen
DE,h0044,0.05483944047358982,scr1990,stInflow,pumpedStorageOpen
DE,h0045,0.050395380074699486,scr1990,stInflow,pumpedStorageOpen
DE,h0046,0.045922953128270674,scr1990,stInflow,pumpedStorageOpen
DE,h0047,0.03889510980001416,scr1990,stInflow,pumpedStorageOpen
DE,h0048,0.03635944025404368,scr1990,stInflow,pumpedStorageOpen
ES,h0025,0.049973389548507816,scr1990,stInflow,pumpedStorageOpen
ES,h0026,0.04758609867015809,scr1990,stInflow,pumpedStorageOpen
ES,h0027,0.046855060392830626,scr1990,stInflow,pumpedStorageOpen
ES,h0028,0.046124207566960874,scr1990,stInflow,pumpedStorageOpen
ES,h0029,0.04619525450005654,scr1990,stInflow,pumpedStorageOpen
ES,h0030,0.04626630320582044,scr1990,stInflow,pumpedStorageOpen
ES,h0031,0.043942926806783904,scr1990,stInflow,pumpedStorageOpen
ES,h0032,0.04155059636285303,scr1990,stInflow,pumpedStorageOpen
ES,h0033,0.04633126357195363,scr1990,stInflow,pumpedStorageOpen
ES,h0034,0.053520178617302884,scr1990,stInflow,pumpedStorageOpen
ES,h0035,0.060725216587628396,scr1990,stInflow,pumpedStorageOpen
ES,h0036,0.06661905148499847,scr1990,stInflow,pumpedStorageOpen
ES,h0037,0.07252185206970321,scr1990,stInflow,pumpedStorageOpen
ES,h0038,0.08643806740933829,scr1990,stInflow,pumpedStorageOpen
ES,h0039,0.09445627602322523,scr1990,stInflow,pumpedStorageOpen
ES,h0040,0.08570362100652423,scr1990,stInflow,pumpedStorageOpen
ES,h0041,0.06897872376578829,scr1990,stInflow,pumpedStorageOpen
ES,h0042,0.04786231648009265,scr1990,stInflow,pumpedStorageOpen
ES,h0043,0.04340750832060386,scr1990,stInflow,pumpedStorageOpen
ES,h0044,0.03896002995549208,scr1990,stInflow,pumpedStorageOpen
ES,h0045,0.03627510141116787,scr1990,stInflow,pumpedStorageOpen
ES,h0046,0.03359324632822867,scr1990,stInflow,pumpedStorageOpen
ES,h0047,0.03007160421234556,scr1990,stInflow,pumpedStorageOpen
ES,h0048,0.029228911844577002,scr1990,stInflow,pumpedStorageOpen
GR,h0025,0.031151164030797807,scr1990,stInflow,pumpedStorageOpen
GR,h0026,0.0313922735275451,scr1990,stInflow,pumpedStorageOpen
GR,h0027,0.031642545858039196,scr1990,stInflow,pumpedStorageOpen
GR,h0028,0.03191452977756889,scr1990,stInflow,pumpedStorageOpen
GR,h0029,0.032209740677016194,scr1990,stInflow,pumpedStorageOpen
GR,h0030,0.03252977480427114,scr1990,stInflow,pumpedStorageOpen
GR,h0031,0.0333980713207722,scr1990,stInflow,pumpedStorageOpen
GR,h0032,0.033977886342252864,scr1990,stInflow,pumpedStorageOpen
GR,h0033,0.033292069359102866,scr1990,stInflow,pumpedStorageOpen
GR,h0034,0.03223869891872516,scr1990,stInflow,pumpedStorageOpen
GR,h0035,0.031412263192934047,scr1990,stInflow,pumpedStorageOpen
GR,h0036,0.031375865756150555,scr1990,stInflow,pumpedStorageOpen
GR,h0037,0.03133993207801885,scr1990,stInflow,pumpedStorageOpen
GR,h0038,0.03081597715634436,scr1990,stInflow,pumpedStorageOpen
GR,h0039,0.03041772403994546,scr1990,stInflow,pumpedStorageOpen
GR,h0040,0.03000003608927955,scr1990,stInflow,pumpedStorageOpen
GR,h0041,0.029911567712770308,scr1990,stInflow,pumpedStorageOpen
GR,h0042,0.030126030615512233,scr1990,stInflow,pumpedStorageOpen
GR,h0043,0.030506401283389033,scr1990,stInflow,pumpedStorageOpen
GR,h0044,0.030989433565110306,scr1990,stInflow,pumpedStorageOpen
GR,h0045,0.032012027826832185,scr1990,stInflow,pumpedStorageOpen
GR,h0046,0.03344604975307605,scr1990,stInflow,pumpedStorageOpen
GR,h0047,0.03895083754614954,scr1990,stInflow,pumpedStorageOpen
GR,h0048,0.044003040827354824,scr1990,stInflow,pumpedStorageOpen
HR,h0025,0.05202407127869685,scr1990,stInflow,pumpedStorageOpen
HR,h0026,0.04990170791641661,scr1990,stInflow,pumpedStorageOpen
HR,h0027,0.04953011426437852,scr1990,stInflow,pumpedStorageOpen
HR,h0028,0.04915866265310102,scr1990,stInflow,pumpedStorageOpen
HR,h0029,0.05295264041713375,scr1990,stInflow,pumpedStorageOpen
HR,h0030,0.056760734109521316,scr1990,stInflow,pumpedStorageOpen
HR,h0031,0.06151419495024961,scr1990,stInflow,pumpedStorageOpen
HR,h0032,0.062446860774433274,scr1990,stInflow,pumpedStorageOpen
HR,h0033,0.06720543972304205,scr1990,stInflow,pumpedStorageOpen
HR,h0034,0.07104243337420338,scr1990,stInflow,pumpedStorageOpen
HR,h0035,0.07489078770840432,scr1990,stInflow,pumpedStorageOpen
HR,h0036,0.07358568945013767,scr1990,stInflow,pumpedStorageOpen
HR,h0037,0.07228186207115919,scr1990,stInflow,pumpedStorageOpen
HR,h0038,0.07535639671520933,scr1990,stInflow,pumpedStorageOpen
HR,h0039,0.07974754677919621,scr1990,stInflow,pumpedStorageOpen
HR,h0040,0.0766151497619249,scr1990,stInflow,pumpedStorageOpen
HR,h0041,0.06911893084057465,scr1990,stInflow,pumpedStorageOpen
HR,h0042,0.06182028542117729,scr1990,stInflow,pumpedStorageOpen
HR,h0043,0.06197386622018426,scr1990,stInflow,pumpedStorageOpen
HR,h0044,0.062127467325461594,scr1990,stInflow,pumpedStorageOpen
HR,h0045,0.06392974069342672,scr1990,stInflow,pumpedStorageOpen
HR,h0046,0.0657347443694414,scr1990,stInflow,pumpedStorageOpen
HR,h0047,0.06813642981879299,scr1990,stInflow,pumpedStorageOpen
HR,h0048,0.06873071610246446,scr1990,stInflow,pumpedStorageOpen
IT,h0025,0.03416269743971089,scr1990,stInflow,pumpedStorageOpen
IT,h0026,0.03826971128223976,scr1990,stInflow,pumpedStorageOpen
IT,h0027,0.04333466706399688,scr1990,stInflow,pumpedStorageOpen
IT,h0028,0.049192046765897994,scr1990,stInflow,pumpedStorageOpen
IT,h0029,0.0604144455126663,scr1990,stInflow,pumpedStorageOpen
IT,h0030,0.07394746060772957,scr1990,stInflow,pumpedStorageOpen
IT,h0031,0.08585540197982626,scr1990,stInflow,pumpedStorageOpen
IT,h0032,0.08247227053555545,scr1990,stInflow,pumpedStorageOpen
IT,h0033,0.07847556034093858,scr1990,stInflow,pumpedStorageOpen
IT,h0034,0.07842095522870106,scr1990,stInflow,pumpedStorageOpen
IT,h0035,0.0795724909814065,scr1990,stInflow,pumpedStorageOpen
IT,h0036,0.08458151826478089,scr1990,stInflow,pumpedStorageOpen
IT,h0037,0.08977875523011818,scr1990,stInflow,pumpedStorageOpen
IT,h0038,0.08337080567414523,scr1990,stInflow,pumpedStorageOpen
IT,h0039,0.07059041806285182,scr1990,stInflow,pumpedStorageOpen
IT,h0040,0.05995927792524,scr1990,stInflow,pumpedStorageOpen
IT,h0041,0.06440241909809956,scr1990,stInflow,pumpedStorageOpen
IT,h0042,0.09052958315381858,scr1990,stInflow,pumpedStorageOpen
IT,h0043,0.11130354524198934,scr1990,stInflow,pumpedStorageOpen
IT,h0044,0.13305977127257793,scr1990,stInflow,pumpedStorageOpen
IT,h0045,0.14336794021526786,scr1990,stInflow,pumpedStorageOpen
IT,h0046,0.15392946591812182,scr1990,stInflow,pumpedStorageOpen
IT,h0047,0.15799484297845365,scr1990,stInflow,pumpedStorageOpen
IT,h0048,0.15441079020549825,scr1990,stInflow,pumpedStorageOpen
NO,h0025,3.4006727332841074,scr1990,stInflow,pumpedStorageOpen
NO,h0026,5.112426909261983,scr1990,stInflow,pumpedStorageOpen
