region_2,timestep_6,value,scenario_1,parameter,technology_3
AL,h0049,0.33166706264080076,scr1988,avaConv,runOfRiver
AL,h0050,0.2964408049537025,scr1988,avaConv,runOfRiver
AL,h0051,0.31479578934805147,scr1988,avaConv,runOfRiver
AL,h0052,0.29939014150718113,scr1988,avaConv,runOfRiver
AL,h0053,0.28471427610498207,scr1988,avaConv,runOfRiver
AL,h0054,0.21646523956161418,scr1988,avaConv,runOfRiver
AL,h0055,0.16387890091815863,scr1988,avaConv,runOfRiver
AL,h0056,0.1270450424184128,scr1988,avaConv,runOfRiver
AL,h0057,0.11730018000383668,scr1988,avaConv,runOfRiver
AL,h0058,0.1138764555630758,scr1988,avaConv,runOfRiver
AL,h0059,0.11186640695325527,scr1988,avaConv,runOfRiver
AL,h0060,0.09510148111453938,scr1988,avaConv,runOfRiver
AL,h0061,0.07442115661451636,scr1988,avaConv,runOfRiver
AL,h0062,0.05465843208251206,scr1988,avaConv,runOfRiver
AL,h0063,0.03888866161997344,scr1988,avaConv,runOfRiver
AL,h0064,0.031584830133687215,scr1988,avaConv,runOfRiver
AL,h0065,0.02841752370701701,scr1988,avaConv,runOfRiver
AL,h0066,0.026530651401025285,scr1988,avaConv,runOfRiver
AL,h0067,0.025020243148001366,scr1988,avaConv,runOfRiver
AL,h0068,0.0236601418039704,scr1988,avaConv,runOfRiver
AL,h0069,0.023055418822962356,scr1988,avaConv,runOfRiver
AL,h0070,0.02252616430324152,scr1988,avaConv,runOfRiver
AL,h0071,0.021769883739927953,scr1988,avaConv,runOfRiver
AL,h0072,0.020710676536740878,scr1988,avaConv,runOfRiver
AT,h0049,0.8075722491348967,scr1988,avaConv,runOfRiver
AT,h0050,0.752969797277631,scr1988,avaConv,runOfRiver
AT,h0051,0.7410786212932395,scr1988,avaConv,runOfRiver
AT,h0052,0.7414367711227807,scr1988,avaConv,runOfRiver
AT,h0053,0.753061330249843,scr1988,avaConv,runOfRiver
AT,h0054,0.7669530915591961,scr1988,avaConv,runOfRiver
AT,h0055,0.7896859549220616,scr1988,avaConv,runOfRiver
AT,h0056,0.7896546981827269,scr1988,avaConv,runOfRiver
AT,h0057,0.7669787564396081,scr1988,avaConv,runOfRiver
AT,h0058,0.702765813498268,scr1988,avaConv,runOfRiver
AT,h0059,0.6499394086556615,scr1988,avaConv,runOfRiver
AT,h0060,0.6343094436901163,scr1988,avaConv,runOfRiver
AT,h0061,0.6650324470998672,scr1988,avaConv,runOfRiver
AT,h0062,0.6913751842682665,scr1988,avaConv,runOfRiver
AT,h0063,0.7065743754262064,scr1988,avaConv,runOfRiver
AT,h0064,0.6824476283974417,scr1988,avaConv,runOfRiver
AT,h0065,0.6692348809128227,scr1988,avaConv,runOfRiver
AT,h0066,0.6363615308059971,scr1988,avaConv,runOfRiver
AT,h0067,0.5966350521095385,scr1988,avaConv,runOfRiver
AT,h0068,0.5703715408443372,scr1988,avaConv,runOfRiver
AT,h0069,0.5531759892268552,scr1988,avaConv,runOfRiver
AT,h0070,0.589555778397078,scr1988,avaConv,runOfRiver
AT,h0071,0.619167370260259,scr1988,avaConv,runOfRiver
AT,h0072,0.6732257170918251,scr1988,avaConv,runOfRiver
BA,h0049,0.33683475437561705,scr1988,avaConv,runOfRiver
BA,h0050,0.317320684560463,scr1988,avaConv,runOfRiver
BA,h0051,0.3050281204200895,scr1988,avaConv,runOfRiver
BA,h0052,0.2692830063885924,scr1988,avaConv,runOfRiver
BA,h0053,0.22152316232654706,scr1988,avaConv,runOfRiver
BA,h0054,0.18925732603643808,scr1988,avaConv,runOfRiver
BA,h0055,0.16253738866707898,scr1988,avaConv,runOfRiver
BA,h0056,0.14388348449070382,scr1988,avaConv,runOfRiver
BA,h0057,0.13623354839077026,scr1988,avaConv,runOfRiver
BA,h0058,0.1296453374185062,scr1988,avaConv,runOfRiver
BA,h0059,0.12246510304274053,scr1988,avaConv,runOfRiver
BA,h0060,0.10988413018886833,scr1988,avaConv,runOfRiver
BA,h0061,0.10097210916089702,scr1988,avaConv,runOfRiver
BA,h0062,0.09577150802117917,scr1988,avaConv,runOfRiver
BA,h0063,0.09103680298884846,scr1988,avaConv,runOfRiver
BA,h0064,0.08707446222118528,scr1988,avaConv,runOfRiver
BA,h0065,0.0821016380242231,scr1988,avaConv,runOfRiver
BA,h0066,0.07837444568456146,scr1988,avaConv,runOfRiver
BA,h0067,0.07576176538978488,scr1988,avaConv,runOfRiver
BA,h0068,0.07429442947378795,scr1988,avaConv,runOfRiver
BA,h0069,0.07379754074940129,scr1988,avaConv,runOfRiver
BA,h0070,0.07301124625786973,scr1988,avaConv,runOfRiver
BA,h0071,0.07204952916907877,scr1988,avaConv,runOfRiver
BA,h0072,0.07100096206136536,scr1988,avaConv,runOfRiver
BE,h0049,0.27470565609558995,scr1988,avaConv,runOfRiver
BE,h0050,0.27418216379829113,scr1988,avaConv,runOfRiver
BE,h0051,0.27331107133025806,scr1988,avaConv,runOfRiver
BE,h0052,0.2665766348675311,scr1988,avaConv,runOfRiver
BE,h0053,0.2591077097035654,scr1988,avaConv,runOfRiver
BE,h0054,0.25227246161205863,scr1988,avaConv,runOfRiver
BE,h0055,0.24718492865927733,scr1988,avaConv,runOfRiver
BE,h0056,0.24313310598180038,scr1988,avaConv,runOfRiver
BE,h0057,0.23960548429982753,scr1988,avaConv,runOfRiver
BE,h0058,0.23627161028419724,scr1988,avaConv,runOfRiver
BE,h0059,0.23328354134692586,scr1988,avaConv,runOfRiver
BE,h0060,0.2307882438419687,scr1988,avaConv,runOfRiver
BE,h0061,0.23218948291269237,scr1988,avaConv,runOfRiver
BE,h0062,0.23532509756370038,scr1988,avaConv,runOfRiver
BE,h0063,0.2356403036084893,scr1988,avaConv,runOfRiver
BE,h0064,0.23109910378556336,scr1988,avaConv,runOfRiver
BE,h0065,0.22800408283298307,scr1988,avaConv,runOfRiver
BE,h0066,0.22815811591658275,scr1988,avaConv,runOfRiver
BE,h0067,0.2281581159165828,scr1988,avaConv,runOfRiver
BE,h0068,0.26180777226368923,scr1988,avaConv,runOfRiver
BE,h0069,0.27001685781483964,scr1988,avaConv,runOfRiver
BE,h0070,0.2748802928860344,scr1988,avaConv,runOfRiver
BE,h0071,0.23992470111615627,scr1988,avaConv,runOfRiver
BE,h0072,0.23078824384196872,scr1988,avaConv,runOfRiver
BG,h0049,0.40863092490240305,scr1988,avaConv,runOfRiver
BG,h0050,0.32572549191424843,scr1988,avaConv,runOfRiver
BG,h0051,0.3291081643336714,scr1988,avaConv,runOfRiver
BG,h0052,0.3227622857962507,scr1988,avaConv,runOfRiver
BG,h0053,0.31103047393902905,scr1988,avaConv,runOfRiver
BG,h0054,0.25032027879886143,scr1988,avaConv,runOfRiver
BG,h0055,0.22181719217503698,scr1988,avaConv,runOfRiver
BG,h0056,0.19808974682103112,scr1988,avaConv,runOfRiver
BG,h0057,0.18622926531793593,scr1988,avaConv,runOfRiver
BG,h0058,0.16630718877317086,scr1988,avaConv,runOfRiver
BG,h0059,0.15461883091307096,scr1988,avaConv,runOfRiver
BG,h0060,0.13012578866976074,scr1988,avaConv,runOfRiver
BG,h0061,0.10808028992213001,scr1988,avaConv,runOfRiver
BG,h0062,0.08566048125605508,scr1988,avaConv,runOfRiver
BG,h0063,0.06993402084475969,scr1988,avaConv,runOfRiver
BG,h0064,0.062475327390197836,scr1988,avaConv,runOfRiver
BG,h0065,0.05772022112338156,scr1988,avaConv,runOfRiver
BG,h0066,0.05503611997096461,scr1988,avaConv,runOfRiver
BG,h0067,0.053349429982366824,scr1988,avaConv,runOfRiver
BG,h0068,0.05178792157669337,scr1988,avaConv,runOfRiver
BG,h0069,0.049783016531749255,scr1988,avaConv,runOfRiver
BG,h0070,0.04830279505749013,scr1988,avaConv,runOfRiver
BG,h0071,0.047421075249265546,scr1988,avaConv,runOfRiver
BG,h0072,0.04741343599892559,scr1988,avaConv,runOfRiver
CH,h0049,0.6807743869300711,scr1988,avaConv,runOfRiver
CH,h0050,0.6949166793800496,scr1988,avaConv,runOfRiver
CH,h0051,0.7091776629957036,scr1988,avaConv,runOfRiver
CH,h0052,0.722114493303148,scr1988,avaConv,runOfRiver
CH,h0053,0.7351460481498375,scr1988,avaConv,runOfRiver
CH,h0054,0.7482674690886251,scr1988,avaConv,runOfRiver
CH,h0055,0.7591859889026458,scr1988,avaConv,runOfRiver
CH,h0056,0.7632602826742896,scr1988,avaConv,runOfRiver
CH,h0057,0.760445841861753,scr1988,avaConv,runOfRiver
CH,h0058,0.7530593959885024,scr1988,avaConv,runOfRiver
CH,h0059,0.7456977936532223,scr1988,avaConv,runOfRiver
CH,h0060,0.7383695538630353,scr1988,avaConv,runOfRiver
CH,h0061,0.7302590780597384,scr1988,avaConv,runOfRiver
CH,h0062,0.72218490399541,scr1988,avaConv,runOfRiver
CH,h0063,0.7141471891028883,scr1988,avaConv,runOfRiver
CH,h0064,0.7069424970366525,scr1988,avaConv,runOfRiver
CH,h0065,0.6989704181408904,scr1988,avaConv,runOfRiver
CH,h0066,0.6898356344151246,scr1988,avaConv,runOfRiver
CH,h0067,0.6795658972388559,scr1988,avaConv,runOfRiver
CH,h0068,0.6689660954141763,scr1988,avaConv,runOfRiver
CH,h0069,0.6584390831946274,scr1988,avaConv,runOfRiver
CH,h0070,0.647981254230493,scr1988,avaConv,runOfRiver
CH,h0071,0.6375891158102343,scr1988,avaConv,runOfRiver
CH,h0072,0.6272671075776282,scr1988,avaConv,runOfRiver
CZ,h0049,0.1898822227300279,scr1988,avaConv,runOfRiver
CZ,h0050,0.1836858101903376,scr1988,avaConv,runOfRiver
CZ,h0051,0.1719043926985631,scr1988,avaConv,runOfRiver
