region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0337,0.7806388435840229,scr1990,stInflow,reservoir
al,h0338,0.7805765155980459,scr1990,stInflow,reservoir
al,h0339,0.7805141872695405,scr1990,stInflow,reservoir
al,h0340,0.7805141872695405,scr1990,stInflow,reservoir
al,h0341,0.7805141872695405,scr1990,stInflow,reservoir
al,h0342,0.7805141872695405,scr1990,stInflow,reservoir
al,h0343,0.7805141872695405,scr1990,stInflow,reservoir
al,h0344,0.7805141872695405,scr1990,stInflow,reservoir
al,h0345,0.7805141872695405,scr1990,stInflow,reservoir
al,h0346,0.7805141872695405,scr1990,stInflow,reservoir
al,h0347,0.7805141872695405,scr1990,stInflow,reservoir
al,h0348,0.7805141872695405,scr1990,stInflow,reservoir
al,h0349,0.7805141872695405,scr1990,stInflow,reservoir
al,h0350,0.7805141872695405,scr1990,stInflow,reservoir
al,h0351,0.7805141872695405,scr1990,stInflow,reservoir
al,h0352,0.7805141872695405,scr1990,stInflow,reservoir
al,h0353,0.7805141872695405,scr1990,stInflow,reservoir
al,h0354,0.7805141872695405,scr1990,stInflow,reservoir
al,h0355,0.7780020702417345,scr1990,stInflow,reservoir
al,h0356,0.7754893949769062,scr1990,stInflow,reservoir
al,h0357,0.7729761595702666,scr1990,stInflow,reservoir
al,h0358,0.7729761595702666,scr1990,stInflow,reservoir
al,h0359,0.7729761595702666,scr1990,stInflow,reservoir
al,h0360,0.7729761595702666,scr1990,stInflow,reservoir
al,h0361,0.7729761595702666,scr1990,stInflow,reservoir
al,h0362,0.7729761595702666,scr1990,stInflow,reservoir
al,h0363,0.7729761595702666,scr1990,stInflow,reservoir
al,h0364,0.7729761595702666,scr1990,stInflow,reservoir
al,h0365,0.7729761595702666,scr1990,stInflow,reservoir
al,h0366,0.7729761595702666,scr1990,stInflow,reservoir
al,h0367,0.7770388402281979,scr1990,stInflow,reservoir
al,h0368,0.7811000600372754,scr1990,stInflow,reservoir
al,h0369,0.7851598269965291,scr1990,stInflow,reservoir
al,h0370,0.7851598269965291,scr1990,stInflow,reservoir
al,h0371,0.7851598269965291,scr1990,stInflow,reservoir
al,h0372,0.7851598269965291,scr1990,stInflow,reservoir
al,h0373,0.7851598269965291,scr1990,stInflow,reservoir
al,h0374,0.7851598269965291,scr1990,stInflow,reservoir
al,h0375,0.7851598269965291,scr1990,stInflow,reservoir
al,h0376,0.7851598269965291,scr1990,stInflow,reservoir
al,h0377,0.7851598269965291,scr1990,stInflow,reservoir
al,h0378,0.7851598269965291,scr1990,stInflow,reservoir
al,h0379,0.7796509046797463,scr1990,stInflow,reservoir
al,h0380,0.7741393022829577,scr1990,stInflow,reservoir
al,h0381,0.7686249997091495,scr1990,stInflow,reservoir
al,h0382,0.7686249997091495,scr1990,stInflow,reservoir
al,h0383,0.7686249997091495,scr1990,stInflow,reservoir
al,h0384,0.7686249997091495,scr1990,stInflow,reservoir
al,h0385,0.7686249997091495,scr1990,stInflow,reservoir
al,h0386,0.7686249997091495,scr1990,stInflow,reservoir
al,h0387,0.7686249997091495,scr1990,stInflow,reservoir
al,h0388,0.7686249997091495,scr1990,stInflow,reservoir
al,h0389,0.7686249997091495,scr1990,stInflow,reservoir
al,h0390,0.7686249997091495,scr1990,stInflow,reservoir
al,h0391,0.7637384535000494,scr1990,stInflow,reservoir
al,h0392,0.7588497585158659,scr1990,stInflow,reservoir
al,h0393,0.7539589002023621,scr1990,stInflow,reservoir
al,h0394,0.7539589002023621,scr1990,stInflow,reservoir
al,h0395,0.7539589002023621,scr1990,stInflow,reservoir
al,h0396,0.7539589002023621,scr1990,stInflow,reservoir
al,h0397,0.7539589002023621,scr1990,stInflow,reservoir
al,h0398,0.7539589002023621,scr1990,stInflow,reservoir
al,h0399,0.7539589002023621,scr1990,stInflow,reservoir
al,h0400,0.7539589002023621,scr1990,stInflow,reservoir
al,h0401,0.7539589002023621,scr1990,stInflow,reservoir
al,h0402,0.7539589002023621,scr1990,stInflow,reservoir
al,h0403,0.7567075423761089,scr1990,stInflow,reservoir
al,h0404,0.7594554993893007,scr1990,stInflow,reservoir
al,h0405,0.7622027738468158,scr1990,stInflow,reservoir
al,h0406,0.7622027738468158,scr1990,stInflow,reservoir
al,h0407,0.7622027738468158,scr1990,stInflow,reservoir
al,h0408,0.7622027738468158,scr1990,stInflow,reservoir
at,h0337,0.4094784768959475,scr1990,stInflow,reservoir
at,h0338,0.4013881731997837,scr1990,stInflow,reservoir
at,h0339,0.3932995056512908,scr1990,stInflow,reservoir
at,h0340,0.3932995056512908,scr1990,stInflow,reservoir
at,h0341,0.3932995056512908,scr1990,stInflow,reservoir
at,h0342,0.3932995056512908,scr1990,stInflow,reservoir
