region_1,timestep_6,value,scenario_1,parameter,carrier_1
AL,h0001,16.70088790183156,scr2004,dem,electricity
AL,h0002,16.726411741986727,scr2004,dem,electricity
AL,h0003,16.7078347620374,scr2004,dem,electricity
AL,h0004,16.705739950775243,scr2004,dem,electricity
AL,h0005,16.799449369643813,scr2004,dem,electricity
AL,h0006,17.159484560099443,scr2004,dem,electricity
AL,h0007,17.66547470977042,scr2004,dem,electricity
AL,h0008,18.078782068071504,scr2004,dem,electricity
AL,h0009,18.141594209383708,scr2004,dem,electricity
AL,h0010,17.856598788620573,scr2004,dem,electricity
AL,h0011,17.365413385247066,scr2004,dem,electricity
AL,h0012,16.794508023477707,scr2004,dem,electricity
AL,h0013,16.202803745546394,scr2004,dem,electricity
AL,h0014,15.637887921224696,scr2004,dem,electricity
AL,h0015,15.252100279340358,scr2004,dem,electricity
AL,h0016,15.32735799879607,scr2004,dem,electricity
AL,h0017,16.028748941481762,scr2004,dem,electricity
AL,h0018,16.851754698120082,scr2004,dem,electricity
AL,h0019,17.142287912422184,scr2004,dem,electricity
AL,h0020,16.771692930100688,scr2004,dem,electricity
AL,h0021,16.38222617429177,scr2004,dem,electricity
AL,h0022,16.387688328165382,scr2004,dem,electricity
AL,h0023,16.574967543641005,scr2004,dem,electricity
AL,h0024,16.805749716915813,scr2004,dem,electricity
AL,h0025,17.007618179193315,scr2004,dem,electricity
AL,h0026,17.242423880494442,scr2004,dem,electricity
AL,h0027,17.318378506344587,scr2004,dem,electricity
AL,h0028,17.325744948482903,scr2004,dem,electricity
AL,h0029,17.439621150810765,scr2004,dem,electricity
AL,h0030,17.840279762057104,scr2004,dem,electricity
AL,h0031,18.406189306605086,scr2004,dem,electricity
AL,h0032,18.883075500584,scr2004,dem,electricity
AL,h0033,18.9910759546208,scr2004,dem,electricity
AL,h0034,18.714204844265815,scr2004,dem,electricity
AL,h0035,18.19086117558122,scr2004,dem,electricity
AL,h0036,17.566050363718563,scr2004,dem,electricity
AL,h0037,16.922495122271858,scr2004,dem,electricity
AL,h0038,16.32239825113949,scr2004,dem,electricity
AL,h0039,15.915161138455165,scr2004,dem,electricity
AL,h0040,15.983431971175303,scr2004,dem,electricity
AL,h0041,16.690401958988815,scr2004,dem,electricity
AL,h0042,17.51773119782398,scr2004,dem,electricity
AL,h0043,17.79023886704686,scr2004,dem,electricity
AL,h0044,17.375694984293887,scr2004,dem,electricity
