region_4,category,timestep_6,value,scenario_1,parameter,technology_3
AL,1,h0001,0.9499923370384035,scr1986,avaConv,onshore_a
AL,1,h0002,0.9427577662667398,scr1986,avaConv,onshore_a
AL,1,h0003,0.8359290270638237,scr1986,avaConv,onshore_a
AL,1,h0004,0.7770213129343181,scr1986,avaConv,onshore_a
AL,1,h0005,0.6189636480343577,scr1986,avaConv,onshore_a
AL,1,h0006,0.5442418097251132,scr1986,avaConv,onshore_a
AL,1,h0007,0.39304990431319586,scr1986,avaConv,onshore_a
AL,1,h0008,0.5509989312342727,scr1986,avaConv,onshore_a
AL,1,h0009,0.6371510511512178,scr1986,avaConv,onshore_a
AL,1,h0010,0.6925185026751582,scr1986,avaConv,onshore_a
AL,1,h0011,0.7146455358423425,scr1986,avaConv,onshore_a
AL,1,h0012,0.7660516356660422,scr1986,avaConv,onshore_a
AL,1,h0013,0.845291740620162,scr1986,avaConv,onshore_a
AL,1,h0014,0.7214004481863068,scr1986,avaConv,onshore_a
AL,1,h0015,0.7056521262504337,scr1986,avaConv,onshore_a
AL,1,h0016,0.7278446699852582,scr1986,avaConv,onshore_a
AL,1,h0017,0.8438679345045631,scr1986,avaConv,onshore_a
AL,1,h0018,0.8924788618992647,scr1986,avaConv,onshore_a
AL,1,h0019,0.8296925435753173,scr1986,avaConv,onshore_a
AL,1,h0020,0.6462958172005571,scr1986,avaConv,onshore_a
AL,1,h0021,0.46170607369089095,scr1986,avaConv,onshore_a
AL,1,h0022,0.28684650698512226,scr1986,avaConv,onshore_a
AL,1,h0023,0.26360814903758045,scr1986,avaConv,onshore_a
AL,1,h0024,0.27284578307773266,scr1986,avaConv,onshore_a
AT,1,h0001,0.24275350326034634,scr1986,avaConv,onshore_a
AT,1,h0002,0.22148691185992803,scr1986,avaConv,onshore_a
AT,1,h0003,0.2439009733998508,scr1986,avaConv,onshore_a
AT,1,h0004,0.24298626389047445,scr1986,avaConv,onshore_a
AT,1,h0005,0.5360551620627488,scr1986,avaConv,onshore_a
AT,1,h0006,0.6343875250522809,scr1986,avaConv,onshore_a
AT,1,h0007,0.8390886765646324,scr1986,avaConv,onshore_a
AT,1,h0008,0.5711237260368931,scr1986,avaConv,onshore_a
AT,1,h0009,0.7394984380664871,scr1986,avaConv,onshore_a
AT,1,h0010,0.6314585868882087,scr1986,avaConv,onshore_a
AT,1,h0011,0.9183435055452951,scr1986,avaConv,onshore_a
AT,1,h0012,0.802618220388889,scr1986,avaConv,onshore_a
