region_1,region_2,region_3,region_4
Iberia,ES,es,01ES
Iberia,ES,es,02ES
Iberia,ES,es,03ES
Iberia,ES,es,04ES
Iberia,ES,es,05ES
Iberia,ES,es,06ES
Iberia,ES,es,07ES
Iberia,ES,es,08ES
Iberia,ES,es,09ES
Iberia,ES,es,10ES
Iberia,ES,es,11ES
Iberia,PT,pt,12PT
Iberia,PT,pt,13PT
FR_,FR,fr,14FR
FR_,FR,fr,15FR
FR_,FR,fr,16FR
FR_,FR,fr,17FR
FR_,FR,fr,18FR
FR_,FR,fr,19FR
FR_,FR,fr,20FR
FR_,FR,fr,21FR
FR_,FR,fr,22FR
FR_,FR,fr,23FR
FR_,FR,fr,24FR
FR_,FR,fr,25FR
FR_,FR,fr,26FR
FR_,FR,fr,27FR
Benelux,BE,be,28BE
Benelux,LU,lu,29LU
Benelux,NL,nl,30NL
DE_,DE,de,31DE
DE_,DE,de,32DE
DE_,DE,de,33DE
DE_,DE,de,34DE
DE_,DE,de,35DE
DE_,DE,de,36DE
DE_,DE,de,37DE
Scan,DK,dk_w,38DK
East,CZ,cz,39CZ
East,CZ,cz,40CZ
East,PL,pl,41PL
East,PL,pl,42PL
East,PL,pl,43PL
East,PL,pl,44PL
East,PL,pl,45PL
East,SK,sk,46SK
CH_,CH,ch,47CH
CH_,CH,ch,48CH
East,AT,at,49AT
East,AT,at,50AT
East,AT,at,51AT
IT_,IT,it_n,52IT
IT_,IT,it_cn,53IT
IT_,IT,it_cs,54IT
IT_,IT,it_s,55IT
IT_,IT,it_sic,56IT
East,SI,si,57SI
East,HU,hu,58HU
SouthEast,RO,ro,59RO
SouthEast,RO,ro,60RO
SouthEast,RO,ro,61RO
East,HR,hr,62HR
SouthEast,ME,me,64ME
SouthEast,RS,rs,65RS
SouthEast,BG,bg,66BG
SouthEast,MK,mk,67MK
SouthEast,GR,gr,68GR
SouthEast,GR,gr,69GR
Scan,DK,dk_e,72DK
Balt,EE,ee,73EE
Scan,FI,fi,74FI
Scan,FI,fi,75FI
Balt,LT,lt,77LT
Balt,LV,lv,78LV
Scan,NO,no_s,79NO
Scan,NO,no_s,80NO
Scan,NO,no_s,81NO
Scan,NO,no_s,82NO
Scan,NO,no_m,83NO
Scan,NO,no_n,84NO
Scan,NO,no_n,85NO
Scan,SE,se_1,86SE
Scan,SE,se_2,87SE
Scan,SE,se_3,88SE
Scan,SE,se_4,89SE
UkPlus,UK,uk,90UK
UkPlus,UK,uk,91UK
UkPlus,UK,uk,92UK
UkPlus,UK,uk,93UK
UkPlus,UK,uk,94UK
UkPlus,UK,ni,95UK
UkPlus,IE,ie,96IE
IT_,IT,it_sar,98IT
FR_,FR,fr_co,99FR
SouthEast,AL,al,70AL
SouthEast,BA,ba,63BA
