region_2,timestep_6,value,scenario_1,parameter,technology_3
AL,h0001,1.8605513517589511,scr1997,stInflow,reservoir
AL,h0002,1.8605513517589511,scr1997,stInflow,reservoir
AL,h0003,1.8605513517589507,scr1997,stInflow,reservoir
AL,h0004,1.7508395567406125,scr1997,stInflow,reservoir
AL,h0005,1.6391858665284664,scr1997,stInflow,reservoir
AL,h0006,1.4187677529198115,scr1997,stInflow,reservoir
AL,h0007,1.3099601238326921,scr1997,stInflow,reservoir
AL,h0008,1.2498178026217064,scr1997,stInflow,reservoir
AL,h0009,1.3003500414003484,scr1997,stInflow,reservoir
AL,h0010,1.3503795146969388,scr1997,stInflow,reservoir
AL,h0011,1.2887986378608964,scr1997,stInflow,reservoir
AL,h0012,1.2264490727218154,scr1997,stInflow,reservoir
AL,h0013,1.150194772328516,scr1997,stInflow,reservoir
AL,h0014,1.1370702791781926,scr1997,stInflow,reservoir
AL,h0015,1.1274750265534992,scr1997,stInflow,reservoir
AL,h0016,1.1310393116831075,scr1997,stInflow,reservoir
AL,h0017,1.2034939337732558,scr1997,stInflow,reservoir
AL,h0018,1.2714024499861147,scr1997,stInflow,reservoir
AL,h0019,1.3383910394350464,scr1997,stInflow,reservoir
AL,h0020,1.3016426181915286,scr1997,stInflow,reservoir
AL,h0021,1.2646238817882045,scr1997,stInflow,reservoir
AL,h0022,1.2022959202329846,scr1997,stInflow,reservoir
AL,h0023,1.1771343472976017,scr1997,stInflow,reservoir
AL,h0024,1.1439558302393282,scr1997,stInflow,reservoir
AT,h0001,0.07456269157490944,scr1997,stInflow,reservoir
AT,h0002,0.07456269157490944,scr1997,stInflow,reservoir
AT,h0003,0.07456269157490944,scr1997,stInflow,reservoir
AT,h0004,0.07423475269923294,scr1997,stInflow,reservoir
AT,h0005,0.07390836076826418,scr1997,stInflow,reservoir
AT,h0006,0.07297395961769643,scr1997,stInflow,reservoir
AT,h0007,0.07236999123688935,scr1997,stInflow,reservoir
AT,h0008,0.0710286039358436,scr1997,stInflow,reservoir
AT,h0009,0.07029455239012761,scr1997,stInflow,reservoir
AT,h0010,0.06956956969063118,scr1997,stInflow,reservoir
AT,h0011,0.06880292712288852,scr1997,stInflow,reservoir
AT,h0012,0.06804688018823389,scr1997,stInflow,reservoir
AT,h0013,0.06658838090742608,scr1997,stInflow,reservoir
