region_3,timestep_6,value,scenario_1,parameter,technology_2
al,h0073,0.48800199744749956,scr2005,avaConv,offshore
al,h0074,0.45487449112590966,scr2005,avaConv,offshore
al,h0075,0.1630855216889628,scr2005,avaConv,offshore
al,h0076,0.1630855216889628,scr2005,avaConv,offshore
al,h0077,0.058381832955605194,scr2005,avaConv,offshore
al,h0078,0.015590766482912286,scr2005,avaConv,offshore
al,h0079,0.03732621864858084,scr2005,avaConv,offshore
al,h0080,0.054427091906078584,scr2005,avaConv,offshore
al,h0081,0.03396452870437724,scr2005,avaConv,offshore
al,h0082,0.04638787550668807,scr2005,avaConv,offshore
al,h0083,0.1335294578794506,scr2005,avaConv,offshore
al,h0084,0.15645966762605865,scr2005,avaConv,offshore
al,h0085,0.1268832119467837,scr2005,avaConv,offshore
al,h0086,0.025121067704492326,scr2005,avaConv,offshore
al,h0087,0.007554029402904287,scr2005,avaConv,offshore
al,h0088,0.0,scr2005,avaConv,offshore
al,h0089,0.00037672239978585667,scr2005,avaConv,offshore
al,h0090,0.018550816936178643,scr2005,avaConv,offshore
al,h0091,0.018441591571106957,scr2005,avaConv,offshore
al,h0092,0.3384528220495111,scr2005,avaConv,offshore
al,h0093,0.2998993575483985,scr2005,avaConv,offshore
al,h0094,0.30564214759905123,scr2005,avaConv,offshore
al,h0095,0.11997195792787037,scr2005,avaConv,offshore
al,h0096,0.3917983531844004,scr2005,avaConv,offshore
ba,h0073,0.33795111514890025,scr2005,avaConv,offshore
ba,h0074,0.010251221493240733,scr2005,avaConv,offshore
ba,h0075,0.010251221493240733,scr2005,avaConv,offshore
ba,h0076,0.003866737473544336,scr2005,avaConv,offshore
ba,h0077,0.0,scr2005,avaConv,offshore
ba,h0078,0.0,scr2005,avaConv,offshore
ba,h0079,0.0,scr2005,avaConv,offshore
ba,h0080,0.0,scr2005,avaConv,offshore
ba,h0081,0.0,scr2005,avaConv,offshore
ba,h0082,0.0015974785919903663,scr2005,avaConv,offshore
ba,h0083,0.006822955970378521,scr2005,avaConv,offshore
ba,h0084,0.006589641371780187,scr2005,avaConv,offshore
ba,h0085,0.008723809395501044,scr2005,avaConv,offshore
ba,h0086,0.0025610113507215856,scr2005,avaConv,offshore
ba,h0087,0.0045601347803650065,scr2005,avaConv,offshore
ba,h0088,0.0005895424345403167,scr2005,avaConv,offshore
ba,h0089,0.0004696481622695813,scr2005,avaConv,offshore
ba,h0090,0.0,scr2005,avaConv,offshore
ba,h0091,0.005042789735433573,scr2005,avaConv,offshore
ba,h0092,0.09757556723742335,scr2005,avaConv,offshore
ba,h0093,0.10904624315627183,scr2005,avaConv,offshore
ba,h0094,0.12741167016478425,scr2005,avaConv,offshore
ba,h0095,0.17416179038859123,scr2005,avaConv,offshore
ba,h0096,0.4395034014843469,scr2005,avaConv,offshore
be,h0073,0.46498431895559916,scr2005,avaConv,offshore
be,h0074,0.5743622590013686,scr2005,avaConv,offshore
be,h0075,0.2897957384640236,scr2005,avaConv,offshore
be,h0076,0.5553420514067834,scr2005,avaConv,offshore
be,h0077,0.5655790562462186,scr2005,avaConv,offshore
be,h0078,0.7114570338922819,scr2005,avaConv,offshore
be,h0079,0.4675741449561474,scr2005,avaConv,offshore
be,h0080,0.31098084865081393,scr2005,avaConv,offshore
be,h0081,0.26622271537992753,scr2005,avaConv,offshore
be,h0082,0.3078970188477681,scr2005,avaConv,offshore
be,h0083,0.2087962836493268,scr2005,avaConv,offshore
be,h0084,0.24488390033586432,scr2005,avaConv,offshore
be,h0085,0.41193368289375093,scr2005,avaConv,offshore
be,h0086,0.42165268377898124,scr2005,avaConv,offshore
be,h0087,0.32624851672725025,scr2005,avaConv,offshore
be,h0088,0.13331946334460354,scr2005,avaConv,offshore
be,h0089,0.43376757221085355,scr2005,avaConv,offshore
be,h0090,0.6162738627949266,scr2005,avaConv,offshore
be,h0091,0.6493595662571527,scr2005,avaConv,offshore
be,h0092,0.4347473719633206,scr2005,avaConv,offshore
be,h0093,0.303912707333347,scr2005,avaConv,offshore
be,h0094,0.28133998848205544,scr2005,avaConv,offshore
be,h0095,0.4671080213466435,scr2005,avaConv,offshore
be,h0096,0.4434466418602105,scr2005,avaConv,offshore
bg,h0073,0.13222571626259638,scr2005,avaConv,offshore
bg,h0074,0.054991742720880754,scr2005,avaConv,offshore
bg,h0075,0.011490385891425283,scr2005,avaConv,offshore
bg,h0076,0.012008062714954307,scr2005,avaConv,offshore
bg,h0077,0.019623362194944528,scr2005,avaConv,offshore
bg,h0078,0.016346168518034037,scr2005,avaConv,offshore
bg,h0079,0.12266895186942461,scr2005,avaConv,offshore
bg,h0080,0.2857779847886577,scr2005,avaConv,offshore
bg,h0081,0.45817766982431224,scr2005,avaConv,offshore
bg,h0082,0.3767696879135585,scr2005,avaConv,offshore
bg,h0083,0.19353604542589814,scr2005,avaConv,offshore
bg,h0084,0.016713563912436828,scr2005,avaConv,offshore
bg,h0085,0.0,scr2005,avaConv,offshore
bg,h0086,0.2356721118388583,scr2005,avaConv,offshore
bg,h0087,0.23454185818552986,scr2005,avaConv,offshore
bg,h0088,0.46891569028124797,scr2005,avaConv,offshore
bg,h0089,0.3172367570391384,scr2005,avaConv,offshore
bg,h0090,0.4490235912957859,scr2005,avaConv,offshore
bg,h0091,0.2701168614989054,scr2005,avaConv,offshore
bg,h0092,0.45564891374552663,scr2005,avaConv,offshore
bg,h0093,0.6101214925434445,scr2005,avaConv,offshore
bg,h0094,0.5505358651854346,scr2005,avaConv,offshore
bg,h0095,0.4206195566482194,scr2005,avaConv,offshore
bg,h0096,0.12957797425812279,scr2005,avaConv,offshore
de,h0073,0.5812492659235102,scr2005,avaConv,offshore
de,h0074,0.4588725322442503,scr2005,avaConv,offshore
de,h0075,0.4063476112735013,scr2005,avaConv,offshore
de,h0076,0.05115598610688907,scr2005,avaConv,offshore
de,h0077,0.0,scr2005,avaConv,offshore
de,h0078,0.24494758344659795,scr2005,avaConv,offshore
de,h0079,0.5193937251688,scr2005,avaConv,offshore
de,h0080,0.7583971413896506,scr2005,avaConv,offshore
de,h0081,0.6291420954507979,scr2005,avaConv,offshore
de,h0082,0.5448063335674524,scr2005,avaConv,offshore
