region_2,timestep_6,value,scenario_1,parameter,technology_2
AL,h0505,0.2647054051589239,scr2001,avaConv,offshore
AL,h0506,0.21853333656637502,scr2001,avaConv,offshore
AL,h0507,0.17671623909937728,scr2001,avaConv,offshore
AL,h0508,0.1833602522427425,scr2001,avaConv,offshore
AL,h0509,0.22679625198240544,scr2001,avaConv,offshore
AL,h0510,0.2798381596019536,scr2001,avaConv,offshore
AL,h0511,0.21860882268283502,scr2001,avaConv,offshore
AL,h0512,0.13059017015202773,scr2001,avaConv,offshore
AL,h0513,0.011780586741755864,scr2001,avaConv,offshore
AL,h0514,0.006839006890571519,scr2001,avaConv,offshore
AL,h0515,0.007671473815835685,scr2001,avaConv,offshore
AL,h0516,0.017131724616261633,scr2001,avaConv,offshore
AL,h0517,0.01596081817443772,scr2001,avaConv,offshore
AL,h0518,0.011272526388823997,scr2001,avaConv,offshore
AL,h0519,0.0,scr2001,avaConv,offshore
AL,h0520,0.0,scr2001,avaConv,offshore
AL,h0521,0.0015662937245175463,scr2001,avaConv,offshore
AL,h0522,0.005029563681318357,scr2001,avaConv,offshore
AL,h0523,0.04465616040217384,scr2001,avaConv,offshore
AL,h0524,0.08455070585388087,scr2001,avaConv,offshore
AL,h0525,0.1274227582030741,scr2001,avaConv,offshore
AL,h0526,0.14825824798733925,scr2001,avaConv,offshore
AL,h0527,0.18576946709846048,scr2001,avaConv,offshore
AL,h0528,0.2525555490025033,scr2001,avaConv,offshore
AL,h0529,0.26939143055705755,scr2001,avaConv,offshore
AL,h0530,0.24758681624432144,scr2001,avaConv,offshore
AL,h0531,0.16890281642976224,scr2001,avaConv,offshore
AL,h0532,0.11039210043294424,scr2001,avaConv,offshore
AL,h0533,0.06530335261203303,scr2001,avaConv,offshore
AL,h0534,0.03818636462835409,scr2001,avaConv,offshore
AL,h0535,0.030734057084658283,scr2001,avaConv,offshore
AL,h0536,0.024180801302253672,scr2001,avaConv,offshore
AL,h0537,0.01771670001249571,scr2001,avaConv,offshore
AL,h0538,0.007098919579236523,scr2001,avaConv,offshore
AL,h0539,0.0014963085381784213,scr2001,avaConv,offshore
AL,h0540,0.0,scr2001,avaConv,offshore
AL,h0541,0.0,scr2001,avaConv,offshore
AL,h0542,0.0,scr2001,avaConv,offshore
AL,h0543,0.0,scr2001,avaConv,offshore
AL,h0544,0.00013415112834066014,scr2001,avaConv,offshore
AL,h0545,0.0007861459507964365,scr2001,avaConv,offshore
AL,h0546,0.0013451819469730113,scr2001,avaConv,offshore
AL,h0547,0.05415010403207382,scr2001,avaConv,offshore
AL,h0548,0.09593491610745766,scr2001,avaConv,offshore
AL,h0549,0.13055351448039548,scr2001,avaConv,offshore
AL,h0550,0.11054808034506865,scr2001,avaConv,offshore
AL,h0551,0.0936311082833206,scr2001,avaConv,offshore
AL,h0552,0.07426150484422996,scr2001,avaConv,offshore
AL,h0553,0.061634568262426664,scr2001,avaConv,offshore
AL,h0554,0.055853120063073206,scr2001,avaConv,offshore
AL,h0555,0.05637629343143522,scr2001,avaConv,offshore
AL,h0556,0.04956176475613559,scr2001,avaConv,offshore
AL,h0557,0.03608363665766413,scr2001,avaConv,offshore
AL,h0558,0.022828732068491397,scr2001,avaConv,offshore
AL,h0559,0.03853946368227939,scr2001,avaConv,offshore
AL,h0560,0.05724083735710535,scr2001,avaConv,offshore
AL,h0561,0.07611209905583095,scr2001,avaConv,offshore
AL,h0562,0.07128278643152663,scr2001,avaConv,offshore
AL,h0563,0.06264174191919339,scr2001,avaConv,offshore
AL,h0564,0.04912993686939659,scr2001,avaConv,offshore
AL,h0565,0.3101100415756635,scr2001,avaConv,offshore
AL,h0566,0.5735797880069434,scr2001,avaConv,offshore
AL,h0567,0.858051335822749,scr2001,avaConv,offshore
AL,h0568,0.8902549001026808,scr2001,avaConv,offshore
AL,h0569,0.9210552864726783,scr2001,avaConv,offshore
AL,h0570,0.936080957848195,scr2001,avaConv,offshore
AL,h0571,0.6989438909614974,scr2001,avaConv,offshore
AL,h0572,0.45294380467344875,scr2001,avaConv,offshore
AL,h0573,0.17523673407796644,scr2001,avaConv,offshore
AL,h0574,0.12918190647243613,scr2001,avaConv,offshore
AL,h0575,0.08186013667152339,scr2001,avaConv,offshore
AL,h0576,0.052654632155101425,scr2001,avaConv,offshore
AL,h0577,0.33261322463518384,scr2001,avaConv,offshore
AL,h0578,0.5881946719263667,scr2001,avaConv,offshore
AL,h0579,0.8090317103867506,scr2001,avaConv,offshore
AL,h0580,0.7226665431070481,scr2001,avaConv,offshore
AL,h0581,0.6370763391653735,scr2001,avaConv,offshore
AL,h0582,0.5794920797836924,scr2001,avaConv,offshore
AL,h0583,0.6883023809637819,scr2001,avaConv,offshore
AL,h0584,0.8148266327642506,scr2001,avaConv,offshore
AL,h0585,0.9499905516639477,scr2001,avaConv,offshore
AL,h0586,0.9499897057369435,scr2001,avaConv,offshore
AL,h0587,0.9499917599804254,scr2001,avaConv,offshore
AL,h0588,0.9499959351934949,scr2001,avaConv,offshore
