region_2,timestep_6,value,scenario_1,parameter,technology_3
AL,h0049,0.36296571226655605,scr2000,avaConv,runOfRiver
AL,h0050,0.28055404465308353,scr2000,avaConv,runOfRiver
AL,h0051,0.19557550185010789,scr2000,avaConv,runOfRiver
AL,h0052,0.13453731659528353,scr2000,avaConv,runOfRiver
AL,h0053,0.08838183938976539,scr2000,avaConv,runOfRiver
AL,h0054,0.07108951712189873,scr2000,avaConv,runOfRiver
AL,h0055,0.0641101599806081,scr2000,avaConv,runOfRiver
AL,h0056,0.060186251542130295,scr2000,avaConv,runOfRiver
AL,h0057,0.051549783245300615,scr2000,avaConv,runOfRiver
AL,h0058,0.04435055320158393,scr2000,avaConv,runOfRiver
AL,h0059,0.03822820210989554,scr2000,avaConv,runOfRiver
AL,h0060,0.03425046159695289,scr2000,avaConv,runOfRiver
AL,h0061,0.03140282202794695,scr2000,avaConv,runOfRiver
AL,h0062,0.02912339867375347,scr2000,avaConv,runOfRiver
AL,h0063,0.027126986328126552,scr2000,avaConv,runOfRiver
AL,h0064,0.03850922358616138,scr2000,avaConv,runOfRiver
AL,h0065,0.12270688619203773,scr2000,avaConv,runOfRiver
AL,h0066,0.1727766076501906,scr2000,avaConv,runOfRiver
AL,h0067,0.17200282567766983,scr2000,avaConv,runOfRiver
AL,h0068,0.08074192454263997,scr2000,avaConv,runOfRiver
AL,h0069,0.045346852947806035,scr2000,avaConv,runOfRiver
AL,h0070,0.03323027312255221,scr2000,avaConv,runOfRiver
AL,h0071,0.02777109745853096,scr2000,avaConv,runOfRiver
AL,h0072,0.024477838546177303,scr2000,avaConv,runOfRiver
AT,h0049,0.6808844226173956,scr2000,avaConv,runOfRiver
AT,h0050,0.6729596210962367,scr2000,avaConv,runOfRiver
AT,h0051,0.6955439165928914,scr2000,avaConv,runOfRiver
AT,h0052,0.7139295798538572,scr2000,avaConv,runOfRiver
AT,h0053,0.7354101835568502,scr2000,avaConv,runOfRiver
AT,h0054,0.7342613098785793,scr2000,avaConv,runOfRiver
AT,h0055,0.7094805553471115,scr2000,avaConv,runOfRiver
AT,h0056,0.6565505775530978,scr2000,avaConv,runOfRiver
AT,h0057,0.5975740941095077,scr2000,avaConv,runOfRiver
AT,h0058,0.5660771224978345,scr2000,avaConv,runOfRiver
AT,h0059,0.5572109141486457,scr2000,avaConv,runOfRiver
AT,h0060,0.5337734316721605,scr2000,avaConv,runOfRiver
AT,h0061,0.4862287111637872,scr2000,avaConv,runOfRiver
AT,h0062,0.4462811654696514,scr2000,avaConv,runOfRiver
AT,h0063,0.4690276738904745,scr2000,avaConv,runOfRiver
