region_1,timestep_6,value,scenario_1,parameter,technology_1
AL,h0001,0.1111347499897664,scr2085,avaConv,wind
AL,h0002,0.09908446141060538,scr2085,avaConv,wind
AL,h0003,0.08833860458732914,scr2085,avaConv,wind
AL,h0004,0.06912629960607856,scr2085,avaConv,wind
AL,h0005,0.05460130928297899,scr2085,avaConv,wind
AL,h0006,0.04537020917984494,scr2085,avaConv,wind
AL,h0007,0.03851226604704824,scr2085,avaConv,wind
AL,h0008,0.0326081271638593,scr2085,avaConv,wind
AL,h0009,0.025141599192808877,scr2085,avaConv,wind
AL,h0010,0.016654600518069013,scr2085,avaConv,wind
AL,h0011,0.00823055734060803,scr2085,avaConv,wind
AL,h0012,0.0026871943178442786,scr2085,avaConv,wind
AL,h0013,0.000250135223893285,scr2085,avaConv,wind
AL,h0014,0.0001237066674228209,scr2085,avaConv,wind
AL,h0015,0.00013802997046290905,scr2085,avaConv,wind
AL,h0016,0.00016966088948844584,scr2085,avaConv,wind
AL,h0017,0.00021072732031022706,scr2085,avaConv,wind
AL,h0018,0.00027327423283714724,scr2085,avaConv,wind
AL,h0019,0.00038124127612623114,scr2085,avaConv,wind
AL,h0020,0.000528142384032174,scr2085,avaConv,wind
AL,h0021,0.0007218090553405415,scr2085,avaConv,wind
AL,h0022,0.0018121823401651706,scr2085,avaConv,wind
AL,h0023,0.0033505580741148102,scr2085,avaConv,wind
AL,h0024,0.005046620369580013,scr2085,avaConv,wind
AL,h0025,0.005764317456202845,scr2085,avaConv,wind
AL,h0026,0.0057961171601147166,scr2085,avaConv,wind
AL,h0027,0.0052975654611645525,scr2085,avaConv,wind
AL,h0028,0.004360223517473277,scr2085,avaConv,wind
AL,h0029,0.002691395258359579,scr2085,avaConv,wind
AL,h0030,0.0012627436088842284,scr2085,avaConv,wind
AL,h0031,0.00022053387710708637,scr2085,avaConv,wind
AL,h0032,0.0,scr2085,avaConv,wind
AL,h0033,0.0,scr2085,avaConv,wind
AL,h0034,0.0,scr2085,avaConv,wind
AL,h0035,0.0,scr2085,avaConv,wind
AL,h0036,0.00012379417248524827,scr2085,avaConv,wind
AL,h0037,0.0003986891964047211,scr2085,avaConv,wind
AL,h0038,0.0023774904915149406,scr2085,avaConv,wind
AL,h0039,0.0052216600888999425,scr2085,avaConv,wind
AL,h0040,0.008883805984746548,scr2085,avaConv,wind
AL,h0041,0.011727913681515937,scr2085,avaConv,wind
AL,h0042,0.014172303701616215,scr2085,avaConv,wind
AL,h0043,0.016199705421699604,scr2085,avaConv,wind
AL,h0044,0.017732805438031247,scr2085,avaConv,wind
AL,h0045,0.01916039519707584,scr2085,avaConv,wind
AL,h0046,0.021228525253516786,scr2085,avaConv,wind
AL,h0047,0.024548235821979368,scr2085,avaConv,wind
AL,h0048,0.02970940420322274,scr2085,avaConv,wind
AL,h0049,0.03640086576249022,scr2085,avaConv,wind
AL,h0050,0.04391646268634409,scr2085,avaConv,wind
AL,h0051,0.05167921756570314,scr2085,avaConv,wind
